fset	seed	n_test	pos_test	auc	brier	accuracy	precision	recall	f1
20raw	42	10000	144	0.9979	0.0328	0.9938	0.91	0.6319	0.7459
20raw	179	10000	144	0.9974	0.0349	0.9934	0.89	0.6181	0.7295
20raw	316	10000	144	0.9975	0.0345	0.9936	0.9	0.625	0.7377
20raw	453	10000	144	0.9977	0.0335	0.9926	0.85	0.5903	0.6967
20raw	590	10000	144	0.9978	0.0334	0.9932	0.88	0.6111	0.7213
24full	42	10000	144	0.9987	0.0299	0.9936	0.9	0.625	0.7377
24full	179	10000	144	0.9985	0.0306	0.9944	0.94	0.6528	0.7705
24full	316	10000	144	0.9984	0.0321	0.9938	0.91	0.6319	0.7459
24full	453	10000	144	0.9984	0.0302	0.994	0.92	0.6389	0.7541
24full	590	10000	144	0.9985	0.0322	0.9938	0.91	0.6319	0.7459
4sensor	42	10000	144	0.9651	0.1373	0.9826	0.35	0.2431	0.2869
4sensor	179	10000	144	0.9598	0.1385	0.9822	0.33	0.2292	0.2705
4sensor	316	10000	144	0.9585	0.1392	0.9822	0.33	0.2292	0.2705
4sensor	453	10000	144	0.9582	0.1387	0.9818	0.31	0.2153	0.2541
4sensor	590	10000	144	0.9637	0.1361	0.9828	0.36	0.25	0.2951
