dim	value	n_entries	cov_loss_form	cov_reference_kl	cov_sampler_backend	cov_telemetry	cov_group_size_schedule	cov_heldout_split	cov_decontamination	mean_item_cov
framework	colab-open-trainer	4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
framework	openrlhf	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
framework	tinker	8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
framework	trl	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
framework	verl	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
framework	worktree-zvf130-batch	11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
