seed	step	tau	rule	zvf_obs	fired	G_used	zvf_target	salvage	cost_ratio	delta_z	net_benefit
42	1	0.55	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	2	0.55	STATIC_G16	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	3	0.55	STATIC_G16	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	4	0.55	STATIC_G16	0.375	0	8	0.375	0	1	0	0
42	5	0.55	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	6	0.55	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	7	0.55	STATIC_G16	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	8	0.55	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	9	0.55	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.55	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	11	0.55	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	12	0.55	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	13	0.55	STATIC_G16	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	14	0.55	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	15	0.55	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	1	0.55	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	2	0.55	DUALFORMER_d4	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	3	0.55	DUALFORMER_d4	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	4	0.55	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
42	5	0.55	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	6	0.55	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	7	0.55	DUALFORMER_d4	0.625	1	16	0.390625	0	2	0.234375	-0.265625
42	8	0.55	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	9	0.55	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.55	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
