pair	weighting	rho	lo	hi	ci_positive	ci_negative
P5-P6	raw	-0.6287	-0.7269	-0.5344	0	1
P5-P6	weighted	-0.8786	-0.9120	-0.8282	0	1
P5-P7	raw	0.9506	0.9264	0.9652	1	0
P5-P7	weighted	0.9908	0.9842	0.9931	1	0
P5-P8	raw	0.9189	0.8827	0.9438	1	0
P5-P8	weighted	0.9797	0.9675	0.9855	1	0
P6-P7	raw	-0.6181	-0.7102	-0.5266	0	1
P6-P7	weighted	-0.8795	-0.9109	-0.8295	0	1
P6-P8	raw	-0.6359	-0.7340	-0.5522	0	1
P6-P8	weighted	-0.8804	-0.9114	-0.8360	0	1
P7-P8	raw	0.7907	0.7116	0.8486	1	0
P7-P8	weighted	0.9533	0.9297	0.9662	1	0
