channel	step	eta2_point	ci_lo	ci_hi	mean_boot
cv_len	22	0.115540	0.050354	0.295344	0.146000
cv_len	23	0.061258	0.007776	0.250005	0.088420
cv_len	24	0.022409	0.002109	0.176574	0.050353
cv_len	25	0.076951	0.017038	0.221655	0.099664
cv_len	26	0.044514	0.007773	0.213884	0.079659
cv_len	27	0.069996	0.016503	0.256131	0.103774
cv_len	28	0.013355	0.003224	0.116424	0.036106
cv_len	29	0.032701	0.005842	0.155934	0.058202
cv_len	30	0.001705	0.002264	0.149870	0.036381
cv_len	31	0.016121	0.003151	0.131034	0.042908
cv_len	32	0.075902	0.014685	0.234826	0.102879
cv_len	33	0.106990	0.026492	0.328342	0.146946
cv_len	34	0.076842	0.024093	0.226948	0.107011
cv_len	35	0.129192	0.023913	0.360757	0.160076
cv_len	36	0.055196	0.011166	0.218505	0.078693
cv_len	37	0.027944	0.005839	0.176127	0.061783
cv_len	38	0.098585	0.023532	0.292438	0.127178
cv_len	39	0.009686	0.002772	0.118265	0.037171
