backbone	width	n_llm_calls	frac_llm	n_caught_at_K2	recall_at_K2	precision_at_K2	auc	cost_per_decision	cost_per_fraud_caught
XGB-20raw	0.05	9	0.0009	141	0.979167	0.705	0.999759	0.00010081	0.00714965
XGB-20raw	0.1	21	0.0021	141	0.979167	0.705	0.999759	0.00010189	0.00722624
XGB-20raw	0.2	35	0.0035	141	0.979167	0.705	0.999759	0.00010315	0.0073156
XGB-20raw	0.3	46	0.0046	141	0.979167	0.705	0.999758	0.00010414	0.00738582
XGB-20raw	0.5	70	0.007	141	0.979167	0.705	0.99976	0.0001063	0.00753901
XGB-20raw	1	10000	1	143	0.993056	0.715	0.999803	0.001	0.0699301
XGB-24full	0.05	9	0.0009	143	0.993056	0.715	0.999803	0.00010081	0.00704965
XGB-24full	0.1	22	0.0022	143	0.993056	0.715	0.999803	0.00010198	0.00713147
XGB-24full	0.2	38	0.0038	143	0.993056	0.715	0.999803	0.00010342	0.00723217
XGB-24full	0.3	49	0.0049	143	0.993056	0.715	0.999803	0.00010441	0.0073014
XGB-24full	0.5	82	0.0082	143	0.993056	0.715	0.999803	0.00010738	0.00750909
XGB-24full	1	10000	1	143	0.993056	0.715	0.999803	0.001	0.0699301
