item_id	item_name	mode_mega	mode_n10	mode_n2	shannon_entropy	uniform_threshold_pass
1	model_family	IM	EX	AB	0.613	1
2	ref_policy_kl	EX	NA	NA	0.355	1
3	reward_model_signature	AB	AB	AB	0.000	0
4	rollout_temperature	IM	AB	AB	0.355	1
5	group_size	EX	EX	EX	0.000	0
6	heldout_split	EX	AB	AB	0.355	1
7	decontamination_notes	EX	AB	AB	0.355	1
8	loss_form	EX	AB	TS	0.613	1
9	sampler_backend_precision	EX	AB	AB	0.355	1
10	advantage_baseline	AB	AB	AB	0.000	0
11	token_mask	AB	AB	AB	0.000	0
12	kl_beta	AB	NA	NA	0.355	1
13	zvf_per_step	EX	TS	EX	0.355	1
14	K_variance_residual	TD	AB	TD	0.355	1
15	K_unique_count	TD	AB	TD	0.355	1
16	max_K_share_PLACEBO	TD	AB	TD	0.355	1
17	prompt_p_hat_var	TD	AB	TD	0.355	1
18	zvf130_risk_residual	AB	NA	NA	0.355	1
