cell_id	mutation_id	mutation_name	n_checks_failed	flipped_check_ids	caught
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	M8	per_step_zvf_path_break	1	C10	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M1	cell_id_swap_hash	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M2	model_family_swap	0		0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M3	task_slice_swap	1	C03	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M4	G_swap	1	C04	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M5	temperature_swap	1	C05	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M6	seed_swap	1	C06	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M7	heldout_split_swap	1	C07	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	M8	per_step_zvf_path_break	1	C10	1
