variant	n_features	auc	brier
XGB-20raw+V_mean	21	0.9993	0.0037
XGB-20raw+V_std	21	0.9998	0.0036
XGB-20raw+V_max	21	0.9995	0.0039
XGB-20raw+V_min	21	0.9996	0.0034
XGB-20raw+V_mean+V_std	22	0.9996	0.0037
XGB-20raw+V_mean+V_max	22	0.9995	0.0038
XGB-20raw+V_mean+V_min	22	0.9996	0.0036
XGB-20raw+V_std+V_max	22	0.9998	0.0037
XGB-20raw+V_std+V_min	22	0.9998	0.0035
XGB-20raw+V_max+V_min	22	0.9996	0.0035
