method	pillar	step	metric
grpo	P5	0	0.812500
grpo	P5	1	0.820312
grpo	P5	2	0.828125
grpo	P5	3	0.796875
grpo	P5	4	0.804688
grpo	P5	5	0.687500
grpo	P5	6	0.796875
grpo	P5	7	0.710938
grpo	P5	8	0.726562
grpo	P5	9	0.882812
grpo	P5	10	0.882812
grpo	P5	11	0.718750
grpo	P5	12	0.945312
grpo	P5	13	0.742188
grpo	P5	14	0.875000
grpo	P5	15	0.851562
grpo	P5	16	0.734375
grpo	P5	17	0.843750
grpo	P5	18	0.648438
grpo	P5	19	0.781250
grpo	P5	20	0.828125
grpo	P5	21	0.859375
grpo	P5	22	0.882812
grpo	P5	23	0.882812
grpo	P5	24	0.929688
grpo	P5	25	0.789062
grpo	P5	26	0.875000
grpo	P5	27	0.968750
grpo	P5	28	0.898438
grpo	P5	29	0.953125
grpo	P5	30	0.937500
grpo	P5	31	0.914062
grpo	P5	32	0.890625
grpo	P5	33	0.875000
grpo	P5	34	0.898438
grpo	P5	35	0.859375
grpo	P5	36	0.898438
grpo	P5	37	0.726562
grpo	P5	38	0.804688
grpo	P5	39	0.804688
aero	P5	0	0.789062
aero	P5	1	0.820312
aero	P5	2	0.867188
aero	P5	3	0.757812
aero	P5	4	0.828125
aero	P5	5	0.640625
aero	P5	6	0.742188
aero	P5	7	0.710938
aero	P5	8	0.750000
aero	P5	9	0.859375
aero	P5	10	0.851562
aero	P5	11	0.757812
aero	P5	12	0.867188
aero	P5	13	0.710938
aero	P5	14	0.921875
aero	P5	15	0.882812
aero	P5	16	0.718750
aero	P5	17	0.781250
aero	P5	18	0.703125
aero	P5	19	0.781250
aero	P5	20	0.828125
aero	P5	21	0.906250
aero	P5	22	0.898438
aero	P5	23	0.867188
aero	P5	24	0.929688
aero	P5	25	0.820312
aero	P5	26	0.820312
aero	P5	27	0.976562
aero	P5	28	0.906250
aero	P5	29	0.937500
aero	P5	30	0.937500
aero	P5	31	0.906250
aero	P5	32	0.875000
aero	P5	33	0.867188
aero	P5	34	0.890625
aero	P5	35	0.820312
aero	P5	36	0.898438
aero	P5	37	0.703125
aero	P5	38	0.804688
aero	P5	39	0.765625
areal	P5	0	0.859375
areal	P5	1	0.851562
areal	P5	2	0.812500
areal	P5	3	0.742188
areal	P5	4	0.828125
areal	P5	5	0.656250
areal	P5	6	0.820312
areal	P5	7	0.750000
areal	P5	8	0.750000
areal	P5	9	0.859375
areal	P5	10	0.882812
areal	P5	11	0.734375
areal	P5	12	0.914062
areal	P5	13	0.718750
areal	P5	14	0.890625
areal	P5	15	0.835938
areal	P5	16	0.750000
areal	P5	17	0.789062
areal	P5	18	0.664062
areal	P5	19	0.750000
areal	P5	20	0.843750
areal	P5	21	0.843750
areal	P5	22	0.906250
areal	P5	23	0.875000
areal	P5	24	0.929688
areal	P5	25	0.828125
areal	P5	26	0.835938
areal	P5	27	0.953125
areal	P5	28	0.906250
areal	P5	29	0.953125
areal	P5	30	0.914062
areal	P5	31	0.875000
areal	P5	32	0.898438
areal	P5	33	0.875000
areal	P5	34	0.859375
areal	P5	35	0.843750
areal	P5	36	0.898438
areal	P5	37	0.671875
areal	P5	38	0.781250
areal	P5	39	0.796875
gift	P5	0	0.820312
gift	P5	1	0.804688
gift	P5	2	0.851562
gift	P5	3	0.757812
gift	P5	4	0.867188
gift	P5	5	0.625000
gift	P5	6	0.789062
gift	P5	7	0.726562
gift	P5	8	0.710938
gift	P5	9	0.882812
gift	P5	10	0.882812
gift	P5	11	0.757812
gift	P5	12	0.937500
gift	P5	13	0.710938
gift	P5	14	0.937500
gift	P5	15	0.843750
gift	P5	16	0.742188
gift	P5	17	0.812500
gift	P5	18	0.703125
gift	P5	19	0.843750
gift	P5	20	0.828125
gift	P5	21	0.867188
gift	P5	22	0.890625
gift	P5	23	0.890625
gift	P5	24	0.937500
gift	P5	25	0.851562
gift	P5	26	0.898438
gift	P5	27	0.953125
gift	P5	28	0.929688
gift	P5	29	0.960938
gift	P5	30	0.921875
gift	P5	31	0.929688
gift	P5	32	0.843750
gift	P5	33	0.929688
gift	P5	34	0.937500
gift	P5	35	0.820312
gift	P5	36	0.906250
gift	P5	37	0.781250
gift	P5	38	0.835938
gift	P5	39	0.867188
grpo	P6	0	-0.687500
grpo	P6	1	-0.500000
grpo	P6	2	-0.687500
grpo	P6	3	-0.750000
grpo	P6	4	-0.687500
grpo	P6	5	-0.687500
grpo	P6	6	-0.812500
grpo	P6	7	-0.687500
grpo	P6	8	-0.562500
grpo	P6	9	-0.687500
grpo	P6	10	-0.687500
grpo	P6	11	-0.687500
grpo	P6	12	-0.812500
grpo	P6	13	-0.562500
grpo	P6	14	-0.750000
grpo	P6	15	-0.750000
grpo	P6	16	-0.625000
grpo	P6	17	-0.500000
grpo	P6	18	-0.562500
grpo	P6	19	-0.625000
grpo	P6	20	-0.625000
grpo	P6	21	-0.750000
grpo	P6	22	-0.750000
grpo	P6	23	-0.875000
grpo	P6	24	-0.812500
grpo	P6	25	-0.562500
grpo	P6	26	-0.812500
grpo	P6	27	-0.937500
grpo	P6	28	-0.812500
grpo	P6	29	-0.812500
grpo	P6	30	-0.812500
grpo	P6	31	-0.750000
grpo	P6	32	-0.687500
grpo	P6	33	-0.687500
grpo	P6	34	-0.875000
grpo	P6	35	-0.937500
grpo	P6	36	-0.812500
grpo	P6	37	-0.750000
grpo	P6	38	-0.687500
grpo	P6	39	-0.750000
aero	P6	0	-0.687500
aero	P6	1	-0.687500
aero	P6	2	-0.812500
aero	P6	3	-0.687500
aero	P6	4	-0.750000
aero	P6	5	-0.562500
aero	P6	6	-0.750000
