method	claim_delta_count	zvf_risk_mean	components
aero	1	0.430051	advantage_guided_evolution
areal	1	0.331921	autoscaling_Rollout
cppo	1	0.426611	continuity_penalty
es	1	0.305110	black_box_perturbation
gift	1	0.314501	gamma_likelihood_baseline
grpo	0	0.577688	(none)
mcgrpo	2	0.403411	mcts_rollout;per_prompt_diversity_bonus
ngrpo	1	0.446663	per_prompt_normalization
scafgrpo	1	0.225327	scaffold_aware_advantage
