seed	rate_pct	fset	tau_vmean	value_rate	esc_prec	n_lift	n_waste	pareto_ok
20260706	1.44	24full	0.0	0.5208333333333334	0.01001001001001001	50	4945	False
20260706	1.44	24full	0.5	0.14583333333333334	0.008588957055214725	14	1616	False
20260706	1.44	24full	1.0	0.03125	0.01	3	297	False
20260706	1.44	24full	1.5	0.0	0.0	0	24	False
20260706	1.44	24full	2.0	0.0	0.0	0	0	False
20260706	1.44	24full	2.5	0.0	0.0	0	0	False
20260706	1.44	24full	3.0	0.0	0.0	0	0	False
20260706	1.44	20raw	0.0	0.5531914893617021	0.010381313635456179	52	4957	False
20260706	1.44	20raw	0.5	0.14893617021276595	0.008641975308641974	14	1606	False
20260706	1.44	20raw	1.0	0.031914893617021274	0.010067114093959731	3	295	False
20260706	1.44	20raw	1.5	0.0	0.0	0	24	False
20260706	1.44	20raw	2.0	0.0	0.0	0	0	False
20260706	1.44	20raw	2.5	0.0	0.0	0	0	False
20260706	1.44	20raw	3.0	0.0	0.0	0	0	False
20260706	1.44	20raw+minmax	0.0	0.5531914893617021	0.010379241516966068	52	4958	False
20260706	1.44	20raw+minmax	0.5	0.14893617021276595	0.008620689655172414	14	1610	False
20260706	1.44	20raw+minmax	1.0	0.031914893617021274	0.010067114093959731	3	295	False
20260706	1.44	20raw+minmax	1.5	0.0	0.0	0	24	False
20260706	1.44	20raw+minmax	2.0	0.0	0.0	0	0	False
20260706	1.44	20raw+minmax	2.5	0.0	0.0	0	0	False
20260706	1.44	20raw+minmax	3.0	0.0	0.0	0	0	False
20260706	1.44	20raw+stat	0.0	0.5638297872340425	0.010606363818290974	53	4944	False
20260706	1.44	20raw+stat	0.5	0.14893617021276595	0.0085995085995086	14	1614	False
20260706	1.44	20raw+stat	1.0	0.031914893617021274	0.010033444816053512	3	296	False
20260706	1.44	20raw+stat	1.5	0.0	0.0	0	24	False
20260706	1.44	20raw+stat	2.0	0.0	0.0	0	0	False
20260706	1.44	20raw+stat	2.5	0.0	0.0	0	0	False
20260706	1.44	20raw+stat	3.0	0.0	0.0	0	0	False
20260706	1.0	24full	0.0	0.5606060606060606	0.00744466800804829	37	4933	False
20260706	1.0	24full	0.5	0.16666666666666666	0.00676923076923077	11	1614	False
20260706	1.0	24full	1.0	0.015151515151515152	0.003355704697986577	1	297	False
20260706	1.0	24full	1.5	0.0	0.0	0	24	False
20260706	1.0	24full	2.0	0.0	0.0	0	0	False
20260706	1.0	24full	2.5	0.0	0.0	0	0	False
20260706	1.0	24full	3.0	0.0	0.0	0	0	False
20260706	1.0	20raw	0.0	0.6031746031746031	0.007622868605817452	38	4947	False
20260706	1.0	20raw	0.5	0.1746031746031746	0.006806930693069307	11	1605	False
20260706	1.0	20raw	1.0	0.015873015873015872	0.0033783783783783786	1	295	False
20260706	1.0	20raw	1.5	0.0	0.0	0	24	False
20260706	1.0	20raw	2.0	0.0	0.0	0	0	False
20260706	1.0	20raw	2.5	0.0	0.0	0	0	False
20260706	1.0	20raw	3.0	0.0	0.0	0	0	False
20260706	1.0	20raw+minmax	0.0	0.6060606060606061	0.008016032064128256	40	4950	False
20260706	1.0	20raw+minmax	0.5	0.16666666666666666	0.006790123456790123	11	1609	False
20260706	1.0	20raw+minmax	1.0	0.015151515151515152	0.0033783783783783786	1	295	False
20260706	1.0	20raw+minmax	1.5	0.0	0.0	0	24	False
20260706	1.0	20raw+minmax	2.0	0.0	0.0	0	0	False
20260706	1.0	20raw+minmax	2.5	0.0	0.0	0	0	False
20260706	1.0	20raw+minmax	3.0	0.0	0.0	0	0	False
20260706	1.0	20raw+stat	0.0	0.6031746031746031	0.007639726578206675	38	4936	False
20260706	1.0	20raw+stat	0.5	0.1746031746031746	0.0067733990147783255	11	1613	False
20260706	1.0	20raw+stat	1.0	0.015873015873015872	0.003367003367003367	1	296	False
20260706	1.0	20raw+stat	1.5	0.0	0.0	0	24	False
20260706	1.0	20raw+stat	2.0	0.0	0.0	0	0	False
20260706	1.0	20raw+stat	2.5	0.0	0.0	0	0	False
20260706	1.0	20raw+stat	3.0	0.0	0.0	0	0	False
20260706	0.5	24full	0.0	0.35714285714285715	0.002025931928687196	10	4926	False
20260706	0.5	24full	0.5	0.07142857142857142	0.001238390092879257	2	1613	False
20260706	0.5	24full	1.0	0.07142857142857142	0.006711409395973154	2	296	False
20260706	0.5	24full	1.5	0.0	0.0	0	24	False
20260706	0.5	24full	2.0	0.0	0.0	0	0	False
20260706	0.5	24full	2.5	0.0	0.0	0	0	False
20260706	0.5	24full	3.0	0.0	0.0	0	0	False
20260706	0.5	20raw	0.0	0.42857142857142855	0.002425712553062462	12	4935	False
20260706	0.5	20raw	0.5	0.07142857142857142	0.0012461059190031153	2	1603	False
20260706	0.5	20raw	1.0	0.07142857142857142	0.006734006734006734	2	295	False
20260706	0.5	20raw	1.5	0.0	0.0	0	24	False
20260706	0.5	20raw	2.0	0.0	0.0	0	0	False
20260706	0.5	20raw	2.5	0.0	0.0	0	0	False
20260706	0.5	20raw	3.0	0.0	0.0	0	0	False
20260706	0.5	20raw+minmax	0.0	0.41379310344827586	0.0024222850222042794	12	4942	False
20260706	0.5	20raw+minmax	0.5	0.06896551724137931	0.001243008079552517	2	1607	False
20260706	0.5	20raw+minmax	1.0	0.06896551724137931	0.006734006734006734	2	295	False
20260706	0.5	20raw+minmax	1.5	0.0	0.0	0	24	False
20260706	0.5	20raw+minmax	2.0	0.0	0.0	0	0	False
20260706	0.5	20raw+minmax	2.5	0.0	0.0	0	0	False
20260706	0.5	20raw+minmax	3.0	0.0	0.0	0	0	False
20260706	0.5	20raw+stat	0.0	0.38461538461538464	0.002025931928687196	10	4926	False
20260706	0.5	20raw+stat	0.5	0.07692307692307693	0.001238390092879257	2	1613	False
20260706	0.5	20raw+stat	1.0	0.07692307692307693	0.006711409395973154	2	296	False
20260706	0.5	20raw+stat	1.5	0.0	0.0	0	24	False
20260706	0.5	20raw+stat	2.0	0.0	0.0	0	0	False
20260706	0.5	20raw+stat	2.5	0.0	0.0	0	0	False
20260706	0.5	20raw+stat	3.0	0.0	0.0	0	0	False
20260706	0.1	24full	0.0	0.6666666666666666	0.001219264377159114	6	4915	False
20260706	0.1	24full	0.5	0.3333333333333333	0.0018575851393188853	3	1612	False
20260706	0.1	24full	1.0	0.1111111111111111	0.003367003367003367	1	296	False
20260706	0.1	24full	1.5	0.0	0.0	0	24	False
20260706	0.1	24full	2.0	0.0	0.0	0	0	False
20260706	0.1	24full	2.5	0.0	0.0	0	0	False
20260706	0.1	24full	3.0	0.0	0.0	0	0	False
20260706	0.1	20raw	0.0	0.8571428571428571	0.0012167917258162643	6	4925	False
20260706	0.1	20raw	0.5	0.42857142857142855	0.001869158878504673	3	1602	False
20260706	0.1	20raw	1.0	0.14285714285714285	0.0033783783783783786	1	295	False
20260706	0.1	20raw	1.5	0.0	0.0	0	24	False
20260706	0.1	20raw	2.0	0.0	0.0	0	0	False
20260706	0.1	20raw	2.5	0.0	0.0	0	0	False
20260706	0.1	20raw	3.0	0.0	0.0	0	0	False
20260706	0.1	20raw+minmax	0.0	0.75	0.0012145748987854252	6	4934	False
20260706	0.1	20raw+minmax	0.5	0.375	0.0018645121193287756	3	1606	False
20260706	0.1	20raw+minmax	1.0	0.125	0.0033783783783783786	1	295	False
20260706	0.1	20raw+minmax	1.5	0.0	0.0	0	24	False
20260706	0.1	20raw+minmax	2.0	0.0	0.0	0	0	False
20260706	0.1	20raw+minmax	2.5	0.0	0.0	0	0	False
20260706	0.1	20raw+minmax	3.0	0.0	0.0	0	0	False
20260706	0.1	20raw+stat	0.0	0.75	0.001219264377159114	6	4915	False
20260706	0.1	20raw+stat	0.5	0.375	0.0018610421836228288	3	1609	False
20260706	0.1	20raw+stat	1.0	0.125	0.003367003367003367	1	296	False
20260706	0.1	20raw+stat	1.5	0.0	0.0	0	24	False
20260706	0.1	20raw+stat	2.0	0.0	0.0	0	0	False
20260706	0.1	20raw+stat	2.5	0.0	0.0	0	0	False
20260706	0.1	20raw+stat	3.0	0.0	0.0	0	0	False
20260706	0.05	24full	0.0	0.0	0.0	0	4916	False
20260706	0.05	24full	0.5	0.0	0.0	0	1613	False
20260706	0.05	24full	1.0	0.0	0.0	0	296	False
20260706	0.05	24full	1.5	0.0	0.0	0	24	False
20260706	0.05	24full	2.0	0.0	0.0	0	0	False
20260706	0.05	24full	2.5	0.0	0.0	0	0	False
20260706	0.05	24full	3.0	0.0	0.0	0	0	False
20260706	0.05	20raw	0.0	0.0	0.0	0	4925	False
20260706	0.05	20raw	0.5	0.0	0.0	0	1602	False
20260706	0.05	20raw	1.0	0.0	0.0	0	295	False
20260706	0.05	20raw	1.5	0.0	0.0	0	24	False
20260706	0.05	20raw	2.0	0.0	0.0	0	0	False
20260706	0.05	20raw	2.5	0.0	0.0	0	0	False
20260706	0.05	20raw	3.0	0.0	0.0	0	0	False
20260706	0.05	20raw+minmax	0.0	0.0	0.0	0	4935	False
20260706	0.05	20raw+minmax	0.5	0.0	0.0	0	1607	False
20260706	0.05	20raw+minmax	1.0	0.0	0.0	0	295	False
20260706	0.05	20raw+minmax	1.5	0.0	0.0	0	24	False
20260706	0.05	20raw+minmax	2.0	0.0	0.0	0	0	False
20260706	0.05	20raw+minmax	2.5	0.0	0.0	0	0	False
20260706	0.05	20raw+minmax	3.0	0.0	0.0	0	0	False
20260706	0.05	20raw+stat	0.0	0.5	0.0002034174125305126	1	4915	False
20260706	0.05	20raw+stat	0.5	0.0	0.0	0	1609	False
