sigma	k_pct	tree	mean_pred	obs_rate	brier_topk	calib_gap	n_alerts
0.000000	0.500000	20raw	0.879785	1.000000	0.018573	-0.120215	50
0.000000	0.500000	24full	0.863568	1.000000	0.024613	-0.136432	50
0.000000	0.500000	4sensor	0.191029	0.500000	0.316939	-0.308971	50
0.000000	1.000000	20raw	0.742678	1.000000	0.091900	-0.257322	100
0.000000	1.000000	24full	0.731242	1.000000	0.095257	-0.268758	100
0.000000	1.000000	4sensor	0.144195	0.410000	0.290914	-0.265805	100
0.000000	2.000000	20raw	0.455336	0.715000	0.174253	-0.259664	200
0.000000	2.000000	24full	0.460990	0.715000	0.161440	-0.254010	200
0.000000	2.000000	4sensor	0.106103	0.315000	0.242496	-0.208897	200
0.000000	5.000000	20raw	0.203351	0.286000	0.070519	-0.082649	500
0.000000	5.000000	24full	0.205635	0.288000	0.067292	-0.082365	500
0.000000	5.000000	4sensor	0.070844	0.182000	0.149054	-0.111156	500
0.050000	0.500000	20raw	0.879785	1.000000	0.018573	-0.120215	50
0.050000	0.500000	24full	0.856368	1.000000	0.027466	-0.143632	50
0.050000	0.500000	4sensor	0.162849	0.200000	0.131557	-0.037151	50
0.050000	1.000000	20raw	0.742678	1.000000	0.091900	-0.257322	100
0.050000	1.000000	24full	0.713822	0.990000	0.108747	-0.276178	100
0.050000	1.000000	4sensor	0.124510	0.150000	0.110790	-0.025490	100
0.050000	2.000000	20raw	0.455336	0.715000	0.174253	-0.259664	200
0.050000	2.000000	24full	0.444531	0.705000	0.177343	-0.260469	200
0.050000	2.000000	4sensor	0.094974	0.110000	0.087986	-0.015026	200
0.050000	5.000000	20raw	0.203351	0.286000	0.070519	-0.082649	500
0.050000	5.000000	24full	0.199340	0.286000	0.075374	-0.086660	500
0.050000	5.000000	4sensor	0.065787	0.078000	0.067345	-0.012213	500
0.100000	0.500000	20raw	0.879785	1.000000	0.018573	-0.120215	50
0.100000	0.500000	24full	0.845792	1.000000	0.032121	-0.154208	50
0.100000	0.500000	4sensor	0.151619	0.180000	0.131555	-0.028381	50
0.100000	1.000000	20raw	0.742678	1.000000	0.091900	-0.257322	100
0.100000	1.000000	24full	0.697879	0.990000	0.121111	-0.292121	100
0.100000	1.000000	4sensor	0.117053	0.110000	0.085950	0.007053	100
0.100000	2.000000	20raw	0.455336	0.715000	0.174253	-0.259664	200
0.100000	2.000000	24full	0.429458	0.700000	0.187660	-0.270542	200
0.100000	2.000000	4sensor	0.091248	0.085000	0.071192	0.006248	200
0.100000	5.000000	20raw	0.203351	0.286000	0.070519	-0.082649	500
0.100000	5.000000	24full	0.193534	0.286000	0.081333	-0.092466	500
0.100000	5.000000	4sensor	0.064245	0.060000	0.053300	0.004245	500
0.200000	0.500000	20raw	0.879785	1.000000	0.018573	-0.120215	50
0.200000	0.500000	24full	0.836716	1.000000	0.036467	-0.163284	50
0.200000	0.500000	4sensor	0.130332	0.060000	0.052198	0.070332	50
0.200000	1.000000	20raw	0.742678	1.000000	0.091900	-0.257322	100
0.200000	1.000000	24full	0.661167	0.980000	0.151376	-0.318833	100
0.200000	1.000000	4sensor	0.104341	0.070000	0.062814	0.034341	100
0.200000	2.000000	20raw	0.455336	0.715000	0.174253	-0.259664	200
0.200000	2.000000	24full	0.400350	0.695000	0.217431	-0.294650	200
0.200000	2.000000	4sensor	0.082972	0.035000	0.033314	0.047972	200
0.200000	5.000000	20raw	0.203351	0.286000	0.070519	-0.082649	500
0.200000	5.000000	24full	0.181600	0.286000	0.095057	-0.104400	500
0.200000	5.000000	4sensor	0.060925	0.028000	0.027287	0.032925	500
0.500000	0.500000	20raw	0.879785	1.000000	0.018573	-0.120215	50
0.500000	0.500000	24full	0.796041	1.000000	0.058443	-0.203959	50
0.500000	0.500000	4sensor	0.163652	0.080000	0.073306	0.083652	50
0.500000	1.000000	20raw	0.742678	1.000000	0.091900	-0.257322	100
0.500000	1.000000	24full	0.576692	0.970000	0.226550	-0.393308	100
0.500000	1.000000	4sensor	0.127844	0.060000	0.057193	0.067844	100
0.500000	2.000000	20raw	0.455336	0.715000	0.174253	-0.259664	200
0.500000	2.000000	24full	0.341868	0.665000	0.253536	-0.323132	200
0.500000	2.000000	4sensor	0.099590	0.050000	0.048217	0.049590	200
0.500000	5.000000	20raw	0.203351	0.286000	0.070519	-0.082649	500
0.500000	5.000000	24full	0.157671	0.278000	0.113089	-0.120329	500
0.500000	5.000000	4sensor	0.069358	0.030000	0.029840	0.039358	500
1.000000	0.500000	20raw	0.879785	1.000000	0.018573	-0.120215	50
1.000000	0.500000	24full	0.713398	0.980000	0.111532	-0.266602	50
1.000000	0.500000	4sensor	0.167383	0.040000	0.052881	0.127383	50
1.000000	1.000000	20raw	0.742678	1.000000	0.091900	-0.257322	100
1.000000	1.000000	24full	0.514790	0.940000	0.271592	-0.425210	100
1.000000	1.000000	4sensor	0.135915	0.040000	0.047573	0.095915	100
1.000000	2.000000	20raw	0.455336	0.715000	0.174253	-0.259664	200
1.000000	2.000000	24full	0.297111	0.620000	0.261723	-0.322889	200
1.000000	2.000000	4sensor	0.105884	0.020000	0.026691	0.085884	200
1.000000	5.000000	20raw	0.203351	0.286000	0.070519	-0.082649	500
1.000000	5.000000	24full	0.136826	0.270000	0.125706	-0.133174	500
1.000000	5.000000	4sensor	0.070924	0.018000	0.021216	0.052924	500
