C_inv	L	rho	delta_24full_minus_20raw_mean	delta_24full_minus_20raw_ci_low	delta_24full_minus_20raw_ci_high	delta_24full_minus_20raw_excl0	delta_4sensor_minus_20raw_mean	delta_4sensor_minus_20raw_ci_low	delta_4sensor_minus_20raw_ci_high	delta_4sensor_minus_20raw_excl0	n_boot_used
0.1	5.0	50.0	0.22674551862512585	0.1096042799735326	0.35045967023172897	True	1.8650940063587902	1.4120593354373525	2.470762338821691	True	1000
0.1	25.0	250.0	0.32085231105975787	-0.17419524775991127	0.751773489105787	False	2.6335142727391156	1.7840406753307736	3.5558027994562056	True	1000
0.1	100.0	1000.0	0.21953639589358306	-0.4781748651745442	0.8403057553956835	False	3.1884336207458426	2.0408319752439708	4.423828887617243	True	1000
0.1	250.0	2500.0	0.23354867234157448	-0.48432667406585267	0.857481343283582	False	3.356737666877256	1.9082072577232339	4.549513227513227	True	1000
0.1	1000.0	10000.0	0.2255109636248436	-0.5209566729917773	0.8281462660185595	False	3.347683232012649	1.8155426270685577	4.585829493087558	True	1000
0.5	5.0	10.0	0.09355555453092798	-0.12161541412255342	0.30226695601617154	False	5.820754705460886	3.732204282204282	8.578344418671668	True	1000
0.5	25.0	50.0	0.12710993243453422	-0.46588021344825215	0.7616220449849549	False	8.147835631537708	6.11510755638774	10.741120300444322	True	1000
0.5	100.0	200.0	0.5231364558891333	-1.5529895993129397	2.317238714489839	False	11.568048339055911	7.579628291774789	16.07712549008529	True	1000
0.5	250.0	500.0	0.35328648614897723	-2.090880320399834	3.163937658086594	False	13.61531705932376	8.146008145853333	19.251418916275433	True	1000
0.5	1000.0	2000.0	0.20388916471422755	-3.367592953296109	3.306309617326899	False	15.66101911091587	8.998200757575757	21.701341911764704	True	1000
1.0	5.0	5.0	-0.01004951305707255	-0.3526527764192259	0.2782535863737161	False	10.780650474386348	5.642532537652742	22.744842776195547	True	1000
1.0	25.0	25.0	-0.1239030773929093	-0.7396103338581633	0.5450078508292281	False	13.89469249446677	9.945101233247675	18.424666613011198	True	1000
1.0	100.0	100.0	0.35405155704710284	-2.201141773318007	2.9561446316155915	False	19.666382949189142	14.031978277619727	26.582246679669357	True	1000
1.0	250.0	250.0	1.025530062355089	-4.225239398322598	5.311841144248324	False	24.219541569668436	15.553273675259579	33.64320357036291	True	1000
1.0	1000.0	1000.0	-0.0008210854272944666	-6.827217105263157	5.943405432595573	False	29.234916349906044	16.456232226042104	40.51763470034995	True	1000
2.5	5.0	2.0	-0.004666493496493011	-0.6731066649245624	0.570418042887198	False	81.8033518923141	28.8783189033189	231.41515091078324	True	997
2.5	25.0	10.0	-0.5684054478137359	-1.645579885267833	0.4315671913314835	False	27.300898536541023	17.31743698695931	40.26355278621889	True	1000
2.5	100.0	40.0	-0.5546862727424454	-2.9695647713330247	2.2954676311767486	False	36.90985416753487	26.929117617032336	49.769725480669344	True	1000
2.5	250.0	100.0	0.5672371663677703	-5.983450256217562	7.182882726766983	False	48.31712152859399	34.01557907156018	63.82427133291293	True	1000
2.5	1000.0	400.0	1.4758084610138356	-12.316259050850716	14.283288506630333	False	64.96830738351927	40.058874583709155	92.00829588879174	True	1000
5.0	5.0	1.0	35.0	35.0	35.0	True	35.0	35.0	35.0	True	761
5.0	25.0	5.0	-1.0959047274705103	-2.7609066934528177	0.4326331967213119	False	54.60291881263784	26.7984898426898	121.67458666424409	True	1000
5.0	100.0	20.0	-1.593768822358868	-4.509614652511309	1.3122656110357223	False	62.65547720015451	44.53121929761815	86.4308706428514	True	1000
5.0	250.0	50.0	-1.1106047594128794	-7.007053221489957	5.480719312204847	False	78.69689417310522	57.39952721980342	105.61172393381182	True	1000
5.0	1000.0	200.0	2.8319182100957634	-18.69486183012857	22.484564256298448	False	112.90334671605252	73.99037672048334	153.67918526227072	True	1000
