method	config	tau	k_up	k_dn	yield_retention_median	ci_lo	ci_hi	ci_excludes_1.0
grpo	C_sym_0.70_2_2	0.7	2	2	1.0	-0.193	1.521	False
aero	C_sym_0.70_2_2	0.7	2	2	1.0	-0.488	1.853	False
gift	C_sym_0.70_2_2	0.7	2	2	0.799	-3.24	1.0	False
areal	C_sym_0.70_2_2	0.7	2	2	1.016	0.082	2.666	False
grpo	C_sym_0.70_3_3	0.7	3	3	1.0	-0.205	1.643	False
aero	C_sym_0.70_3_3	0.7	3	3	0.9	-2.195	1.195	False
gift	C_sym_0.70_3_3	0.7	3	3	0.782	-2.867	1.0	False
areal	C_sym_0.70_3_3	0.7	3	3	1.132	0.684	3.849	False
grpo	C_sym_0.75_2_2	0.75	2	2	1.0	-0.177	1.555	False
aero	C_sym_0.75_2_2	0.75	2	2	1.0	-0.288	1.774	False
gift	C_sym_0.75_2_2	0.75	2	2	0.799	-2.272	1.0	False
areal	C_sym_0.75_2_2	0.75	2	2	1.006	0.355	2.457	False
grpo	C_asym_0.70_1_4	0.7	1	4	1.783	1.0	10.585	False
aero	C_asym_0.70_1_4	0.7	1	4	2.044	1.0	14.413	False
gift	C_asym_0.70_1_4	0.7	1	4	1.737	1.0	10.882	False
areal	C_asym_0.70_1_4	0.7	1	4	1.82	1.0	16.038	False
grpo	C_asym_0.70_1_3	0.7	1	3	1.686	1.0	8.907	False
aero	C_asym_0.70_1_3	0.7	1	3	1.768	1.0	14.71	False
gift	C_asym_0.70_1_3	0.7	1	3	1.573	1.0	10.967	False
areal	C_asym_0.70_1_3	0.7	1	3	1.679	1.0	11.839	False
grpo	C_asym_0.70_2_4	0.7	2	4	1.19	0.727	2.83	False
aero	C_asym_0.70_2_4	0.7	2	4	1.257	0.857	4.987	False
gift	C_asym_0.70_2_4	0.7	2	4	0.807	-2.346	1.0	False
areal	C_asym_0.70_2_4	0.7	2	4	1.152	0.825	4.88	False
grpo	C_asym_0.75_1_4	0.75	1	4	1.799	1.0	10.656	False
aero	C_asym_0.75_1_4	0.75	1	4	2.025	1.0	15.152	False
gift	C_asym_0.75_1_4	0.75	1	4	1.72	1.0	11.194	False
areal	C_asym_0.75_1_4	0.75	1	4	1.798	1.0	16.101	False
grpo	C_asym_0.75_1_3	0.75	1	3	1.69	1.0	10.007	False
aero	C_asym_0.75_1_3	0.75	1	3	1.765	1.0	11.782	False
gift	C_asym_0.75_1_3	0.75	1	3	1.558	1.0	9.501	False
areal	C_asym_0.75_1_3	0.75	1	3	1.648	1.0	14.711	False
grpo	C_asym_0.80_1_4	0.8	1	4	1.376	1.0	5.768	False
aero	C_asym_0.80_1_4	0.8	1	4	1.635	1.0	11.388	False
gift	C_asym_0.80_1_4	0.8	1	4	0.969	-0.834	1.318	False
areal	C_asym_0.80_1_4	0.8	1	4	1.434	1.0	8.456	False
grpo	C_asym_0.80_1_3	0.8	1	3	1.19	0.79	4.128	False
aero	C_asym_0.80_1_3	0.8	1	3	1.369	1.0	6.509	False
gift	C_asym_0.80_1_3	0.8	1	3	0.968	-1.075	1.269	False
areal	C_asym_0.80_1_3	0.8	1	3	1.237	1.0	5.182	False
grpo	C_asym_0.70_1_5	0.7	1	5	1.903	1.0	11.54	False
aero	C_asym_0.70_1_5	0.7	1	5	2.08	1.0	15.064	False
gift	C_asym_0.70_1_5	0.7	1	5	1.771	1.0	13.271	False
areal	C_asym_0.70_1_5	0.7	1	5	1.987	1.0	16.601	False
