ratio	point	ci_lo	ci_hi	excludes_1.0
P5_over_P7step	0.734694	0.499845	1.140087	False
P5_over_P7pp	0.503700	0.376862	0.636788	False
P5_over_P8	43.731778	30.359911	62.432681	True
P8_over_P7step	0.016800	0.011709	0.024830	True
P8_over_P7pp	0.011518	0.009189	0.013958	True
P7pp_over_P7step	1.458594	1.115956	2.105552	False
P7pp_over_P5	1.985308	1.562437	2.669089	False
P7step_over_P5	1.361111	0.859073	2.041667	False
P7pp_over_P8	86.821057	71.373334	109.228818	True
