id	framework	label	items_present	items_present_pct	leaves_non_null	leaves_total	leaves_non_null_pct
colab-open_dapo_e3	colab-open-trainer	dapo	7	1.0	25	26	0.9615384615384616
colab-open_drgrpo_e3	colab-open-trainer	drgrpo	7	1.0	22	26	0.8461538461538461
colab-open_grpo-adaptiveg_e3	colab-open-trainer	grpo	7	1.0	22	26	0.8461538461538461
colab-open_grpo_e3	colab-open-trainer	grpo	7	1.0	22	26	0.8461538461538461
openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	grpo	7	1.0	13	26	0.5
tinker_aero_qwen3.5-4b_gsm8k	tinker	aero	7	1.0	15	26	0.5769230769230769
tinker_areal_qwen3.5-4b_gsm8k	tinker	areal	7	1.0	15	26	0.5769230769230769
tinker_dapo_qwen3.5-4b_gsm8k	tinker	dapo	7	1.0	17	26	0.6538461538461539
tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	drgrpo	7	1.0	14	26	0.5384615384615384
tinker_gift_qwen3.5-4b_gsm8k	tinker	gift	7	1.0	16	26	0.6153846153846154
tinker_grpo_qwen3-8b_gsm8k	tinker	grpo	7	1.0	13	26	0.5
tinker_grpo_qwen3.5-4b_gsm8k	tinker	grpo	7	1.0	12	26	0.46153846153846156
tinker_gspo_qwen3.5-4b_gsm8k	tinker	gspo	7	1.0	14	26	0.5384615384615384
trl_grpo_qwen3-8b_gsm8k	trl	grpo	7	1.0	16	26	0.6153846153846154
verl_grpo_qwen3-8b_gsm8k	verl	grpo	7	1.0	13	26	0.5
zvf130_aero	worktree-zvf130-batch	aero	7	1.0	9	26	0.34615384615384615
zvf130_areal	worktree-zvf130-batch	areal	7	1.0	9	26	0.34615384615384615
zvf130_cppo	worktree-zvf130-batch	cppo	7	1.0	9	26	0.34615384615384615
zvf130_es	worktree-zvf130-batch	es	7	1.0	9	26	0.34615384615384615
zvf130_gift	worktree-zvf130-batch	gift	7	1.0	9	26	0.34615384615384615
zvf130_grpo	worktree-zvf130-batch	grpo	7	1.0	9	26	0.34615384615384615
zvf130_mcgrpo	worktree-zvf130-batch	mcgrpo	7	1.0	9	26	0.34615384615384615
zvf130_ngrpo	worktree-zvf130-batch	ngrpo	7	1.0	9	26	0.34615384615384615
zvf130_scafgrpo	worktree-zvf130-batch	scafgrpo	7	1.0	9	26	0.34615384615384615
zvf130_tool_use_llama-8b-inst	worktree-zvf130-batch	tool_use_llama-8b-inst	7	1.0	9	26	0.34615384615384615
zvf130_tool_use_qwen3-32b	worktree-zvf130-batch	tool_use_qwen3-32b	7	1.0	9	26	0.34615384615384615
