stratum	pair	metric	mean_a	mean_b	delta	ci_lo	ci_hi	excludes_zero
V_mean	XGB-24full-XGB-20raw	gini_alerts	0.225805	0.169935	0.055869999999999996	0.0019500000000000047	0.10609999999999992	YES
V_mean	XGB-24full-XGB-20raw	std_recall	0.09327548952141945	0.09382419270247702	-0.0005487031810575752	-0.06733894951877444	0.06137372148306295	no
V_mean	XGB-24full-XGB-20raw	std_precision	0.09930565000655117	0.08967890386019334	0.009626746146357827	-0.055409446015105196	0.07639811890388022	no
V_mean	XGB-24full-XGB-20raw	l1_alert_bias_vs_uniform	0.9000006353225751	0.9000014713151577	-8.359925824952264e-07	-1.1503218078343092e-05	6.743775184342437e-06	no
V_mean	XGB-20raw-XGB-4sensor	gini_alerts	0.168925	0.397005	-0.22808	-0.29805	-0.14395000000000005	YES
V_mean	XGB-20raw-XGB-4sensor	std_recall	0.09151958464554565	0.13882631810813778	-0.04730673346259216	-0.1343852754005347	0.049745149484178366	no
V_mean	XGB-20raw-XGB-4sensor	std_precision	0.09130199458108176	0.2325384709785179	-0.14123647639743614	-0.29369714154172594	0.035845442185990485	no
V_mean	XGB-20raw-XGB-4sensor	l1_alert_bias_vs_uniform	0.9000016452372708	0.9000018167389725	-1.7150170152580025e-07	-2.8520678520854714e-05	2.286273517946295e-05	no
V_mean	XGB-24full-XGB-4sensor	gini_alerts	0.22769000000000003	0.39716500000000005	-0.169475	-0.246	-0.08595000000000007	YES
V_mean	XGB-24full-XGB-4sensor	std_recall	0.09222580307909604	0.13521593554434372	-0.04299013246524765	-0.1319222157793219	0.053152931061449915	no
V_mean	XGB-24full-XGB-4sensor	std_precision	0.10120622481079405	0.23349657678983937	-0.13229035197904535	-0.29606406814860964	0.059605439789326864	no
V_mean	XGB-24full-XGB-4sensor	l1_alert_bias_vs_uniform	0.9000009575967421	0.9000028313859638	-1.873789221713551e-06	-2.4302877274565145e-05	1.2259025174282673e-05	no
V14	XGB-24full-XGB-20raw	gini_alerts	0.09464499999999999	0.09048500000000001	0.0041600000000000005	-0.045999999999999985	0.060000000000000005	no
V14	XGB-24full-XGB-20raw	std_recall	0.08912760208774471	0.09141237488350536	-0.002284772795760633	-0.05681792410346099	0.05255390003433885	no
V14	XGB-24full-XGB-20raw	std_precision	0.08382969724635579	0.09431850572627005	-0.010488808479914258	-0.06009750025563688	0.04225675188111618	no
V14	XGB-24full-XGB-20raw	l1_alert_bias_vs_uniform	0.8999987446455493	0.8999990464628658	-3.018173163271687e-07	-6.516574170167821e-06	4.999402093067151e-06	no
V14	XGB-20raw-XGB-4sensor	gini_alerts	0.09266500000000001	0.095665	-0.0030000000000000005	-0.08005	0.0800999999999999	no
V14	XGB-20raw-XGB-4sensor	std_recall	0.0937808358181789	0.08083516158521238	0.012945674232966527	-0.0676650459850749	0.09519434771043818	no
V14	XGB-20raw-XGB-4sensor	std_precision	0.09454658218586177	0.06474315888627605	0.02980342329958572	-0.042849458557449926	0.09665048327558433	no
V14	XGB-20raw-XGB-4sensor	l1_alert_bias_vs_uniform	0.8999991392236353	0.9000000893419616	-9.501183263083135e-07	-1.5995203870153295e-05	1.1520078217819296e-05	no
V14	XGB-24full-XGB-4sensor	gini_alerts	0.09324500000000001	0.09526	-0.0020150000000000003	-0.08800000000000001	0.08404999999999996	no
V14	XGB-24full-XGB-4sensor	std_recall	0.09037102651756167	0.08132401206693382	0.009047014450627847	-0.07723965668898054	0.09609205585323935	no
V14	XGB-24full-XGB-4sensor	std_precision	0.08451446542405677	0.06472947898990464	0.019784986434152118	-0.042768547388177855	0.08427395547366419	no
V14	XGB-24full-XGB-4sensor	l1_alert_bias_vs_uniform	0.8999988990335396	0.9000003214732739	-1.422439734346248e-06	-1.4258114540571797e-05	9.998280210576915e-06	no
