entry_id	metric	panel	stored_delta	stored_ci_low	stored_ci_high	stored_n	stored_sig	verdict	abs_drift	source_family
delta_adaptiveg	reward_mean	qp7_adaptive_armB_vs_armA_paired	-0.007812	-0.023926	0.009277	16	0	MATCH	0.000000	qp7_adaptive
delta_adaptiveg	zvf	qp7_adaptive_armB_vs_armA_paired	-0.074219	-0.121094	-0.03125	16	1	MATCH	0.000000	qp7_adaptive
delta_aero	zvf	n2_same_stack_last10	-0.025	-0.0625	0.0125	10	0	MATCH	0.000000	n2
delta_aero	reward_mean	n2_same_stack_last10	-0.014063	-0.023438	-0.005469	10	1	MATCH	0.000001	n2
delta_aero	zvf_risk_mean	zvf130_5seed	-0.147637	-0.285921	-0.009354	5	1	MISSING_SOURCE		zvf130_method_risk
delta_aero	mean_zvf	zvf130_5seed	-0.26052	-0.26234	-0.25882	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_aero	pcd	n2_same_stack_last10	0.00293	-0.002441	0.008984	10	0	MATCH	0.000000	n2
delta_aero	mean_len	n2_same_stack_last10	31.077344	27.384375	35.092969	10	1	MATCH	0.000000	n2
delta_areal	zvf	n2_same_stack_last10	-0.05625	-0.1125	0.00625	10	0	MATCH	0.000000	n2
delta_areal	reward_mean	n2_same_stack_last10	-0.019531	-0.032031	-0.007812	10	1	MATCH	0.000000	n2
delta_areal	zvf_risk_mean	zvf130_5seed	-0.245767	-0.354535	-0.137	5	1	MISSING_SOURCE		zvf130_method_risk
delta_areal	mean_zvf	zvf130_5seed	-0.35988	-0.36452	-0.35672	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_areal	pcd	n2_same_stack_last10	0.007324	-0.000781	0.014551	10	0	MATCH	0.000000	n2
delta_areal	mean_len	n2_same_stack_last10	30.125781	25.170313	34.602344	10	1	MATCH	0.000000	n2
delta_cppo	zvf_risk_mean	zvf130_5seed	-0.151077	-0.253342	-0.048813	5	1	MISSING_SOURCE		zvf130_method_risk
delta_cppo	mean_zvf	zvf130_5seed	-0.18558	-0.18756	-0.1837	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_cppo	mag_mean	zvf130_5seed	-0.18558	-0.18788	-0.18318	5	1	MISSING_SOURCE		zvf130_method_risk
delta_drgrpo	neg_frac	length_bias_iter60_grpo_vs_drgrpo_paired	0.1028	0.0646	0.1409	2	1	MATCH	0.000036	length_bias
delta_drgrpo	pos_frac	length_bias_iter60_grpo_vs_drgrpo_paired	-0.1001	-0.2087	0.0085	2	0	MATCH	0.000046	length_bias
delta_drgrpo	L_star	length_bias_iter60_grpo_vs_drgrpo_paired	44.2503	-27.8523	116.3529	2	0	MATCH	0.000045	length_bias
delta_es	zvf_risk_mean	zvf130_5seed	-0.272578	-0.374617	-0.170539	5	1	MISSING_SOURCE		zvf130_method_risk
delta_es	mean_zvf	zvf130_5seed	-0.36656	-0.37112	-0.3631	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_es	mag_mean	zvf130_5seed	-0.36656	-0.3715	-0.36304	5	1	MISSING_SOURCE		zvf130_method_risk
delta_gift	zvf	n2_same_stack_last10	0.125	0.08125	0.175	10	1	MATCH	0.000000	n2
delta_gift	reward_mean	n2_same_stack_last10	0.016406	-0.007031	0.039844	10	0	MATCH	0.000000	n2
delta_gift	zvf_risk_mean	zvf130_5seed	-0.263187	-0.365427	-0.160948	5	1	MISSING_SOURCE		zvf130_method_risk
delta_gift	mean_zvf	zvf130_5seed	-0.36658	-0.37146	-0.36338	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_gift	pcd	n2_same_stack_last10	-0.018457	-0.026172	-0.010352	10	1	MATCH	0.000000	n2
delta_gift	mean_len	n2_same_stack_last10	-3.889063	-10.63125	3.10625	10	0	MATCH	0.000001	n2
delta_mcgrpo	zvf_risk_mean	zvf130_5seed	-0.174277	-0.288771	-0.059783	5	1	MISSING_SOURCE		zvf130_method_risk
delta_mcgrpo	mean_zvf	zvf130_5seed	-0.33474	-0.34164	-0.32942	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_mcgrpo	mag_mean	zvf130_5seed	-0.33474	-0.34166	-0.32892	5	1	MISSING_SOURCE		zvf130_method_risk
delta_ngrpo	zvf_risk_mean	zvf130_5seed	-0.131025	-0.239395	-0.022656	5	1	MISSING_SOURCE		zvf130_method_risk
delta_ngrpo	mean_zvf	zvf130_5seed	-0.18042	-0.18246	-0.1783	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_ngrpo	mag_mean	zvf130_5seed	-0.18042	-0.18166	-0.17916	5	1	MISSING_SOURCE		zvf130_method_risk
delta_scafgrpo	zvf_risk_mean	zvf130_5seed	-0.352361	-0.455533	-0.249189	5	1	MISSING_SOURCE		zvf130_method_risk
delta_scafgrpo	mean_zvf	zvf130_5seed	-0.16414	-0.16748	-0.16054	5	0	DRIFT_SIGN	0.000000	zvf130_risk_index
delta_scafgrpo	mag_mean	zvf130_5seed	-0.16414	-0.16728	-0.16076	5	1	MISSING_SOURCE		zvf130_method_risk
delta_tool_use_llama-8b-inst	zvf_risk_mean	zvf130_1seed_tooluse	-0.030307			1	0	UNINFERABLE_SOURCE		
delta_tool_use_qwen3-32b	zvf_risk_mean	zvf130_1seed_tooluse	-0.030307			1	0	UNINFERABLE_SOURCE		
