method	step	zvf_obs	n_degenerate	boundary_rate	Gstar_optimal	zvf_at_optimal	zvf_at_G16	zvf_at_G32	zvf_at_G64	salvageable	Gstar_eq_G16	Gstar_eq_G32	Gstar_eq_G64
aero	27	0.9375	15	0.9375	64	0.9375	0.9375	0.9375	0.9375	1	0	0	1
aero	28	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
aero	29	0.875	14	0.875	64	0.875	0.8763	0.875	0.875	0	0	0	1
aero	30	0.8125	13	0.8125	64	0.8125	0.8279	0.8142	0.8125	0	0	0	1
aero	31	0.8125	13	0.8125	64	0.8125	0.8279	0.8142	0.8125	0	0	0	1
aero	32	0.75	12	0.75	64	0.75	0.758	0.7509	0.75	0	0	0	1
aero	33	0.625	10	0.625	64	0.625	0.6478	0.6276	0.625	0	0	0	1
aero	34	0.875	14	0.875	64	0.875	0.8824	0.8759	0.875	0	0	0	1
aero	35	0.8125	13	0.8125	64	0.8125	0.8205	0.8134	0.8125	0	0	0	1
aero	36	0.8125	13	0.8125	64	0.8125	0.8211	0.8134	0.8125	0	0	0	1
aero	37	0.6875	11	0.6875	64	0.6875	0.7097	0.6901	0.6875	0	0	0	1
aero	38	0.6875	11	0.6875	64	0.6875	0.7096	0.6901	0.6875	0	0	0	1
aero	39	0.625	10	0.625	64	0.6251	0.6619	0.6294	0.6251	0	0	0	1
gift	0	0.75	12	0.75	64	0.75	0.7513	0.75	0.75	0	0	0	1
gift	1	0.5625	9	0.5625	64	0.5625	0.5859	0.5651	0.5625	0	0	0	1
gift	2	0.6875	11	0.6875	64	0.6876	0.7244	0.6919	0.6876	0	0	0	1
gift	3	0.5625	9	0.5625	64	0.5625	0.5871	0.5651	0.5625	0	0	0	1
gift	4	0.6875	11	0.6875	64	0.6875	0.7035	0.6893	0.6875	0	0	0	1
gift	5	0.625	10	0.625	64	0.6251	0.6619	0.6294	0.6251	0	0	0	1
gift	6	0.75	12	0.75	64	0.75	0.7581	0.7509	0.75	0	0	0	1
gift	7	0.6875	11	0.6875	64	0.6875	0.7109	0.6901	0.6875	0	0	0	1
gift	8	0.625	10	0.625	64	0.625	0.641	0.6268	0.625	0	0	0	1
gift	9	0.625	10	0.625	64	0.625	0.6552	0.6285	0.625	0	0	0	1
gift	10	0.75	12	0.75	64	0.75	0.7721	0.7526	0.75	0	0	0	1
gift	11	0.625	10	0.625	64	0.625	0.6349	0.6259	0.625	0	0	0	1
gift	12	0.75	12	0.75	64	0.75	0.7587	0.7509	0.75	0	0	0	1
gift	13	0.5625	9	0.5625	64	0.5625	0.5712	0.5634	0.5625	0	0	0	1
gift	14	0.8125	13	0.8125	64	0.8125	0.8199	0.8134	0.8125	0	0	0	1
gift	15	0.625	10	0.625	64	0.625	0.6478	0.6276	0.625	0	0	0	1
gift	16	0.625	10	0.625	64	0.625	0.6417	0.6268	0.625	0	0	0	1
gift	17	0.75	12	0.75	64	0.75	0.75	0.75	0.75	1	0	0	1
gift	18	0.625	10	0.625	64	0.625	0.6405	0.6267	0.625	0	0	0	1
gift	19	0.75	12	0.75	64	0.75	0.7654	0.7517	0.75	0	0	0	1
gift	20	0.6875	11	0.6875	64	0.6875	0.7029	0.6892	0.6875	0	0	0	1
gift	21	0.75	12	0.75	64	0.75	0.7581	0.7509	0.75	0	0	0	1
gift	22	0.875	14	0.875	64	0.875	0.8824	0.8759	0.875	0	0	0	1
gift	23	0.875	14	0.875	64	0.875	0.8824	0.8759	0.875	0	0	0	1
gift	24	0.875	14	0.875	64	0.875	0.8898	0.8767	0.875	0	0	0	1
gift	25	0.75	12	0.75	64	0.75	0.7513	0.75	0.75	0	0	0	1
gift	26	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
gift	27	0.9375	15	0.9375	64	0.9375	0.9381	0.9375	0.9375	0	0	0	1
gift	28	0.875	14	0.875	64	0.875	0.883	0.8759	0.875	0	0	0	1
gift	29	0.9375	15	0.9375	64	0.9375	0.9375	0.9375	0.9375	1	0	0	1
gift	30	0.875	14	0.875	64	0.875	0.8756	0.875	0.875	0	0	0	1
gift	31	0.9375	15	0.9375	64	0.9375	0.9449	0.9384	0.9375	0	0	0	1
gift	32	0.75	12	0.75	64	0.75	0.7648	0.7517	0.75	0	0	0	1
gift	33	0.9375	15	0.9375	64	0.9375	0.9449	0.9384	0.9375	0	0	0	1
gift	34	1.0	16	1.0	64	1.0	1.0	1.0	1.0	1	0	0	1
gift	35	0.9375	15	0.9375	64	0.9375	0.9449	0.9384	0.9375	0	0	0	1
gift	36	0.9375	15	0.9375	64	0.9375	0.9375	0.9375	0.9375	1	0	0	1
gift	37	0.875	14	0.875	64	0.875	0.8824	0.8759	0.875	0	0	0	1
gift	38	0.9375	15	0.9375	64	0.9375	0.9375	0.9375	0.9375	1	0	0	1
gift	39	0.8125	13	0.8125	64	0.8125	0.8132	0.8125	0.8125	0	0	0	1
areal	0	0.6875	11	0.6875	64	0.6875	0.703	0.6892	0.6875	0	0	0	1
areal	1	0.5	8	0.5	64	0.5	0.5234	0.5026	0.5	0	0	0	1
areal	2	0.6875	11	0.6875	64	0.6875	0.717	0.691	0.6875	0	0	0	1
areal	3	0.6875	11	0.6875	64	0.6875	0.6962	0.6884	0.6875	0	0	0	1
areal	4	0.5	8	0.5	64	0.5001	0.5449	0.5052	0.5001	0	0	0	1
areal	5	0.75	12	0.75	64	0.75	0.7648	0.7517	0.75	0	0	0	1
areal	6	0.6875	11	0.6875	64	0.6875	0.7097	0.6901	0.6875	0	0	0	1
areal	7	0.875	14	0.875	64	0.875	0.8898	0.8767	0.875	0	0	0	1
areal	8	0.625	10	0.625	64	0.625	0.6405	0.6267	0.625	0	0	0	1
areal	9	0.6875	11	0.6875	64	0.6875	0.6956	0.6884	0.6875	0	0	0	1
areal	10	0.6875	11	0.6875	64	0.6875	0.7171	0.691	0.6875	0	0	0	1
areal	11	0.5	8	0.5	64	0.5	0.5308	0.5035	0.5	0	0	0	1
areal	12	0.8125	13	0.8125	64	0.8125	0.8126	0.8125	0.8125	1	0	0	1
areal	13	0.5625	9	0.5625	64	0.5625	0.5645	0.5625	0.5625	0	0	0	1
areal	14	0.6875	11	0.6875	64	0.6875	0.7035	0.6893	0.6875	0	0	0	1
areal	15	0.6875	11	0.6875	64	0.6875	0.7171	0.691	0.6875	0	0	0	1
areal	16	0.625	10	0.625	64	0.625	0.6484	0.6276	0.625	0	0	0	1
areal	17	0.5	8	0.5	64	0.5	0.5228	0.5026	0.5	0	0	0	1
areal	18	0.5625	9	0.5625	64	0.5625	0.5853	0.5651	0.5625	0	0	0	1
areal	19	0.75	12	0.75	64	0.75	0.7513	0.75	0.75	0	0	0	1
areal	20	0.6875	11	0.6875	64	0.6875	0.6888	0.6875	0.6875	0	0	0	1
areal	21	0.6875	11	0.6875	64	0.6875	0.717	0.691	0.6875	0	0	0	1
areal	22	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
areal	23	0.8125	13	0.8125	64	0.8125	0.8205	0.8134	0.8125	0	0	0	1
areal	24	0.875	14	0.875	64	0.875	0.883	0.8759	0.875	0	0	0	1
areal	25	0.625	10	0.625	64	0.625	0.6264	0.625	0.625	0	0	0	1
areal	26	0.875	14	0.875	64	0.875	0.8757	0.875	0.875	0	0	0	1
areal	27	0.9375	15	0.9375	64	0.9375	0.9381	0.9375	0.9375	0	0	0	1
areal	28	0.875	14	0.875	64	0.875	0.8824	0.8759	0.875	0	0	0	1
areal	29	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
areal	30	0.75	12	0.75	64	0.75	0.7654	0.7517	0.75	0	0	0	1
areal	31	0.5625	9	0.5625	64	0.5626	0.6074	0.5677	0.5626	0	0	0	1
areal	32	0.75	12	0.75	64	0.75	0.7581	0.7509	0.75	0	0	0	1
areal	33	0.625	10	0.625	64	0.625	0.6478	0.6276	0.625	0	0	0	1
areal	34	0.6875	11	0.6875	64	0.6875	0.7176	0.691	0.6875	0	0	0	1
areal	35	0.8125	13	0.8125	64	0.8125	0.8279	0.8142	0.8125	0	0	0	1
areal	36	0.75	12	0.75	64	0.75	0.7654	0.7517	0.75	0	0	0	1
areal	37	0.6875	11	0.6875	64	0.6875	0.7029	0.6892	0.6875	0	0	0	1
areal	38	0.8125	13	0.8125	64	0.8125	0.8205	0.8134	0.8125	0	0	0	1
areal	39	0.75	12	0.75	64	0.75	0.7587	0.7509	0.75	0	0	0	1
