fset	mean_util	mean_util_f1	mean_util_value	n_seeds	pass	rate_pct	test	tier
24full	0.9999955472222222			5	1	1.44	H2_value_positive	cheap_heuristic
24full	0.9999732833333332			5	1	1.44	H2_value_positive	small_open
24full	0.9999554722222224			5	1	1.44	H2_value_positive	iter120_default
24full	0.999777361111111			5	1	1.44	H2_value_positive	mid_tier
24full	0.9986641666666667			5	1	1.44	H2_value_positive	frontier_gpt4
20raw	0.9999942388888889			5	1	1.44	H2_value_positive	cheap_heuristic
20raw	0.9999654333333332			5	1	1.44	H2_value_positive	small_open
20raw	0.9999423888888888			5	1	1.44	H2_value_positive	iter120_default
20raw	0.9997119444444446			5	1	1.44	H2_value_positive	mid_tier
20raw	0.9982716666666667			5	1	1.44	H2_value_positive	frontier_gpt4
20raw+minmax	0.9999955222222223			5	1	1.44	H2_value_positive	cheap_heuristic
20raw+minmax	0.9999731333333333			5	1	1.44	H2_value_positive	small_open
20raw+minmax	0.9999552222222222			5	1	1.44	H2_value_positive	iter120_default
20raw+minmax	0.9997761111111112			5	1	1.44	H2_value_positive	mid_tier
20raw+minmax	0.9986566666666666			5	1	1.44	H2_value_positive	frontier_gpt4
20raw+stat	0.9999952361111111			5	1	1.44	H2_value_positive	cheap_heuristic
20raw+stat	0.9999714166666667			5	1	1.44	H2_value_positive	small_open
20raw+stat	0.9999523611111112			5	1	1.44	H2_value_positive	iter120_default
20raw+stat	0.9997618055555556			5	1	1.44	H2_value_positive	mid_tier
20raw+stat	0.9985708333333333			5	1	1.44	H2_value_positive	frontier_gpt4
24full	0.999994468			5	1	1.0	H2_value_positive	cheap_heuristic
24full	0.9999668079999999			5	1	1.0	H2_value_positive	small_open
24full	0.9999446799999999			5	1	1.0	H2_value_positive	iter120_default
24full	0.9997234			5	1	1.0	H2_value_positive	mid_tier
24full	0.9983404			5	1	1.0	H2_value_positive	frontier_gpt4
20raw	0.999992984			5	1	1.0	H2_value_positive	cheap_heuristic
20raw	0.9999579040000001			5	1	1.0	H2_value_positive	small_open
20raw	0.9999298400000001			5	1	1.0	H2_value_positive	iter120_default
20raw	0.9996492			5	1	1.0	H2_value_positive	mid_tier
20raw	0.9978952			5	1	1.0	H2_value_positive	frontier_gpt4
20raw+minmax	0.999994576			5	1	1.0	H2_value_positive	cheap_heuristic
20raw+minmax	0.9999674559999999			5	1	1.0	H2_value_positive	small_open
20raw+minmax	0.9999457600000001			5	1	1.0	H2_value_positive	iter120_default
20raw+minmax	0.9997288000000001			5	1	1.0	H2_value_positive	mid_tier
20raw+minmax	0.9983728			5	1	1.0	H2_value_positive	frontier_gpt4
20raw+stat	0.999994292			5	1	1.0	H2_value_positive	cheap_heuristic
20raw+stat	0.9999657519999999			5	1	1.0	H2_value_positive	small_open
20raw+stat	0.99994292			5	1	1.0	H2_value_positive	iter120_default
20raw+stat	0.9997145999999999			5	1	1.0	H2_value_positive	mid_tier
20raw+stat	0.9982876			5	1	1.0	H2_value_positive	frontier_gpt4
24full	0.999993424			5	1	0.5	H2_value_positive	cheap_heuristic
