entry_id	record_type	framework	openness	label_claimed	min_report_badge	score_loss_form	score_reference_kl	score_sampler_backend	score_telemetry	score_group_size_schedule	score_heldout_split	score_decontamination	null_rate_loss_form	null_rate_reference_kl	null_rate_sampler_backend	null_rate_telemetry	null_rate_group_size_schedule	null_rate_heldout_split	null_rate_decontamination	n_variant_deltas	has_outcomes	has_ci_method	schema_pass	schema_err	n_measured	n_expected_effects	n_claim_validation	n_supports	n_neutral	n_contradicts	n_unclaimed
tinker_grpo_qwen3-8b_gsm8k	stack	tinker	managed	grpo	62	0.0	0.3333	1.0	1.0	1.0	1.0	0.0	1.0	0.6667	0.0	0.0	0.0	0.0	1.0	0	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
tinker_grpo_qwen3.5-4b_gsm8k	stack	tinker	managed	grpo	57	0.0	0.3333	1.0	1.0	0.6667	1.0	0.0	1.0	0.6667	0.0	0.0	0.3333	0.0	1.0	0	True	True	True	NR	NR	NR	NR	NR	NR	NR	NR
tinker_gspo_qwen3.5-4b_gsm8k	stack	tinker	managed	gspo	61	0.2857	0.3333	1.0	1.0	0.6667	1.0	0.0	0.7143	0.6667	0.0	0.0	0.3333	0.0	1.0	2	True	True	True	NR	NR	NR	NR	NR	NR	NR	NR
trl_grpo_qwen3-8b_gsm8k	stack	trl	open	grpo	74	0.1667	1.0	1.0	1.0	1.0	1.0	0.0	0.8333	0.0	0.0	0.0	0.0	0.0	1.0	0	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
verl_grpo_qwen3-8b_gsm8k	stack	verl	open	grpo	60	0.1667	1.0	1.0	0.0	1.0	1.0	0.0	0.8333	0.0	0.0	1.0	0.0	0.0	1.0	0	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
wandb_ppo_reinforce_llama318b-inst_gsm8k	stack	tinker	managed	ppo-reinforce	50	0.5	0.3333	0.5	1.0	0.6667	0.5	0.0	0.5	0.6667	0.5	0.0	0.3333	0.5	1.0	4	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
wandb_ppo_reinforce_qwen38b_gsm8k	stack	tinker	managed	ppo-reinforce	50	0.5	0.3333	0.5	1.0	0.6667	0.5	0.0	0.5	0.6667	0.5	0.0	0.3333	0.5	1.0	4	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_aero	stack	worktree-zvf130-batch	open	aero	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_areal	stack	worktree-zvf130-batch	open	areal	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_cppo	stack	worktree-zvf130-batch	open	cppo	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_es	stack	worktree-zvf130-batch	open	es	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_gift	stack	worktree-zvf130-batch	open	gift	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_grpo	stack	worktree-zvf130-batch	open	grpo	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_mcgrpo	stack	worktree-zvf130-batch	open	mcgrpo	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_ngrpo	stack	worktree-zvf130-batch	open	ngrpo	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_scafgrpo	stack	worktree-zvf130-batch	open	scafgrpo	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_tool_use_llama-8b-inst	stack	worktree-zvf130-batch	open	tool_use_llama-8b-inst	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
zvf130_tool_use_qwen3-32b	stack	worktree-zvf130-batch	open	tool_use_qwen3-32b	43	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1	True	False	True	NR	NR	NR	NR	NR	NR	NR	NR
delta_adaptiveg	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	2	2	2	1	1	0	0
delta_aero	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	6	3	6	2	1	0	3
delta_areal	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	6	3	6	2	1	0	3
delta_cppo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	3	1	3	1	0	0	2
delta_dapo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	5	False	False	True	NR	0	3	0	0	0	0	0
delta_drgrpo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	2	True	True	True	NR	3	3	3	0	2	1	0
delta_es	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	3	1	3	1	0	0	2
delta_gift	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	6	3	6	2	1	0	3
delta_gspo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	2	False	False	True	NR	0	3	0	0	0	0	0
delta_liteppo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	2	False	False	True	NR	0	0	0	0	0	0	0
delta_mcgrpo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	2	True	True	True	NR	3	1	3	1	0	0	2
delta_ngrpo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	3	1	3	1	0	0	2
delta_ppo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	4	False	False	True	NR	0	3	0	0	0	0	0
delta_ppo_reinforce	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	4	False	False	True	NR	0	3	0	0	0	0	0
delta_reinforce	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	2	False	False	True	NR	0	0	0	0	0	0	0
delta_scafgrpo	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	3	1	3	1	0	0	2
delta_tool_use_llama-8b-inst	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	1	0	0	0	0	0	0
delta_tool_use_qwen3-32b	variant_delta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	1	True	True	True	NR	1	0	0	0	0	0	0
