step	band	channel	eta2_point	ci_lo	ci_hi	mean_boot	ci_excludes_0p05
0	early	reward_mean	0.006406	0.003810	0.029211	nan	1
1	early	reward_mean	0.004613	0.001159	0.046279	0.015032	1
2	early	reward_mean	0.004566	0.000484	0.094911	0.014091	0
3	early	reward_mean	0.003277	0.000406	0.034665	0.007508	1
4	early	reward_mean	0.006242	0.000570	0.043689	0.014278	1
5	early	reward_mean	0.003103	0.000373	0.019041	0.005235	1
6	early	reward_mean	0.006576	0.000744	0.041410	0.011783	1
7	early	reward_mean	0.001630	0.000203	0.026236	0.005870	1
8	early	reward_mean	0.002210	0.000657	0.022424	0.006854	1
9	early	reward_mean	0.002558	0.000817	0.033707	0.011395	1
10	early	reward_mean	0.002757	0.000404	0.050746	0.008512	0
11	early	reward_mean	0.002316	0.000845	0.021895	0.006252	1
12	early	reward_mean	0.030593	0.008513	0.107164	0.041613	0
13	early	reward_mean	0.001456	0.000370	0.048575	0.009501	1
14	mid	reward_mean	0.014881	0.005512	0.079274	0.023667	0
15	mid	reward_mean	0.004116	0.001729	0.062850	0.014284	0
16	mid	reward_mean	0.001076	0.000090	0.026968	0.004460	1
17	mid	reward_mean	0.007970	0.004077	0.055760	0.018512	0
18	mid	reward_mean	0.004139	0.001385	0.034232	0.009324	1
19	mid	reward_mean	0.010515	0.001273	0.064375	0.017607	0
20	mid	reward_mean	0.000624	0.000407	0.029689	0.008341	1
21	mid	reward_mean	0.007267	0.002575	0.063502	0.018108	0
22	mid	reward_mean	0.001289	0.000731	0.091006	nan	0
23	mid	reward_mean	0.000947	0.000459	0.062500	nan	0
24	mid	reward_mean	0.000252	0.000183	0.083333	nan	0
25	mid	reward_mean	0.006248	0.001231	0.057471	0.016806	0
26	mid	reward_mean	0.010012	0.002183	0.013540	nan	1
27	late	reward_mean	0.004618	nan	nan	nan	0
28	late	reward_mean	0.002394	0.000585	0.063920	nan	0
29	late	reward_mean	0.003254	0.001060	0.001425	nan	1
30	late	reward_mean	0.002746	0.000755	0.108911	nan	0
31	late	reward_mean	0.007127	0.001655	0.194346	0.045672	0
32	late	reward_mean	0.007582	0.000455	0.053942	0.014681	0
33	late	reward_mean	0.011169	0.001474	0.147964	0.035916	0
34	late	reward_mean	0.010604	0.001314	0.264646	0.042922	0
35	late	reward_mean	0.002335	0.000226	0.063408	0.010064	0
36	late	reward_mean	0.000187	0.000186	0.091525	0.014344	0
37	late	reward_mean	0.010143	0.000809	0.079152	0.019041	0
38	late	reward_mean	0.003197	0.000115	0.055114	0.009465	0
39	late	reward_mean	0.012474	0.010817	0.052376	nan	0
0	early	mean_len	0.001405	0.000350	0.007919	0.002536	1
1	early	mean_len	0.002331	0.000340	0.015360	0.004470	1
2	early	mean_len	0.000584	0.000115	0.010335	0.002457	1
3	early	mean_len	0.004683	0.001746	0.024191	0.008005	1
4	early	mean_len	0.002007	0.000561	0.011116	0.003727	1
5	early	mean_len	0.003249	0.000485	0.017961	0.005154	1
6	early	mean_len	0.001075	0.000168	0.011707	0.003102	1
7	early	mean_len	0.000610	0.000170	0.004845	0.001399	1
8	early	mean_len	0.001177	0.000207	0.006025	0.001866	1
9	early	mean_len	0.000210	0.000081	0.004147	0.001175	1
10	early	mean_len	0.000832	0.000204	0.011482	0.003145	1
11	early	mean_len	0.002649	0.000581	0.015650	0.004624	1
12	early	mean_len	0.005376	0.001364	0.031037	0.008996	1
13	early	mean_len	0.001005	0.000283	0.008685	0.002981	1
14	mid	mean_len	0.002231	0.000376	0.011498	0.003734	1
15	mid	mean_len	0.005609	0.001763	0.020792	0.008317	1
16	mid	mean_len	0.002369	0.000393	0.016892	0.004480	1
17	mid	mean_len	0.002956	0.000495	0.015426	0.004785	1
18	mid	mean_len	0.002717	0.000976	0.013438	0.004531	1
19	mid	mean_len	0.004043	0.001899	0.011925	0.005629	1
20	mid	mean_len	0.003711	0.001927	0.020738	0.007490	1
21	mid	mean_len	0.015067	0.003458	0.063819	0.021485	0
22	mid	mean_len	0.007716	0.002606	0.030995	0.011031	1
23	mid	mean_len	0.022719	0.007251	0.082478	0.030064	0
24	mid	mean_len	0.008976	0.002710	0.033250	0.012469	1
25	mid	mean_len	0.011486	0.001813	0.066950	0.019801	0
26	mid	mean_len	0.034795	0.015850	0.095478	0.043383	0
27	late	mean_len	0.036230	0.017883	0.111230	0.047556	0
28	late	mean_len	0.019348	0.006253	0.063936	0.025621	0
29	late	mean_len	0.014769	0.004447	0.058218	0.020625	0
30	late	mean_len	0.014659	0.004679	0.066620	0.023330	0
31	late	mean_len	0.032121	0.013388	0.086543	0.039937	0
32	late	mean_len	0.007799	0.002353	0.034113	0.011905	1
33	late	mean_len	0.020735	0.007877	0.057445	0.025128	0
