method	tau	G_N	n_fired_steps	n_boundary_prompts_total	mean_restored_pt
grpo	0.55	12	38	608	0.0225
grpo	0.55	16	38	608	0.0338
grpo	0.55	32	38	608	0.0464
grpo	0.6	12	34	544	0.0214
grpo	0.6	16	34	544	0.0321
grpo	0.6	32	34	544	0.0441
grpo	0.65	12	31	496	0.0208
grpo	0.65	16	31	496	0.0313
grpo	0.65	32	31	496	0.0431
grpo	0.7	12	20	320	0.0172
grpo	0.7	16	20	320	0.0259
grpo	0.7	32	20	320	0.0359
grpo	0.75	12	20	320	0.0172
grpo	0.75	16	20	320	0.0259
grpo	0.75	32	20	320	0.0359
grpo	0.8	12	12	192	0.0152
grpo	0.8	16	12	192	0.0231
grpo	0.8	32	12	192	0.0322
aero	0.55	12	40	640	0.0214
aero	0.55	16	40	640	0.032
aero	0.55	32	40	640	0.0438
aero	0.6	12	35	560	0.0207
aero	0.6	16	35	560	0.0311
aero	0.6	32	35	560	0.0429
aero	0.65	12	28	448	0.0181
aero	0.65	16	28	448	0.0272
aero	0.65	32	28	448	0.0373
aero	0.7	12	19	304	0.0155
aero	0.7	16	19	304	0.0232
aero	0.7	32	19	304	0.0316
aero	0.75	12	19	304	0.0155
aero	0.75	16	19	304	0.0232
aero	0.75	32	19	304	0.0316
aero	0.8	12	14	224	0.0157
aero	0.8	16	14	224	0.0238
aero	0.8	32	14	224	0.0331
gift	0.55	12	40	640	0.0185
gift	0.55	16	40	640	0.0277
gift	0.55	32	40	640	0.0381
gift	0.6	12	37	592	0.0173
gift	0.6	16	37	592	0.026
gift	0.6	32	37	592	0.0358
gift	0.65	12	30	480	0.0136
gift	0.65	16	30	480	0.0204
gift	0.65	32	30	480	0.0282
gift	0.7	12	26	416	0.0107
gift	0.7	16	26	416	0.0159
gift	0.7	32	26	416	0.0218
gift	0.75	12	26	416	0.0107
gift	0.75	16	26	416	0.0159
gift	0.75	32	26	416	0.0218
gift	0.8	12	17	272	0.008
gift	0.8	16	17	272	0.0121
gift	0.8	32	17	272	0.0168
areal	0.55	12	36	576	0.0224
areal	0.55	16	36	576	0.0337
areal	0.55	32	36	576	0.0466
areal	0.6	12	33	528	0.0211
areal	0.6	16	33	528	0.0318
areal	0.6	32	33	528	0.044
areal	0.65	12	29	464	0.0203
areal	0.65	16	29	464	0.0307
areal	0.65	32	29	464	0.0427
areal	0.7	12	17	272	0.0149
areal	0.7	16	17	272	0.0222
areal	0.7	32	17	272	0.0304
areal	0.75	12	17	272	0.0149
areal	0.75	16	17	272	0.0222
areal	0.75	32	17	272	0.0304
areal	0.8	12	11	176	0.0129
areal	0.8	16	11	176	0.0195
areal	0.8	32	11	176	0.0269
