axis	metric	n_cells	eta2_point	eta2_boot_mean	eta2_ci_lo	eta2_ci_hi	sig_strict_ub_<=_0.05	sig_loose_ub_<=_0.10	verdict
model_family	mean_reward	98	0.4527	0.453	0.3035	0.6263	no	no	DOMINANT
model_family	zvf	98	0.0053	0.0153	0.0	0.073	no	yes	SMALL
model_family	pcd	98	0.0931	0.0973	0.0151	0.2173	no	no	MODERATE
model_family	mean_completion_len	98	0.3006	0.3057	0.1768	0.4434	no	no	DOMINANT
model_family	std_completion_len	98	0.1592	0.1637	0.0467	0.3179	no	no	MODERATE
task_slice	mean_reward	98	0.2729	0.2854	0.1843	0.4058	no	no	DOMINANT
task_slice	zvf	98	0.4687	0.4804	0.3715	0.597	no	no	DOMINANT
task_slice	pcd	98	0.4507	0.4644	0.3592	0.5697	no	no	DOMINANT
task_slice	mean_completion_len	98	0.2097	0.2247	0.0804	0.401	no	no	DOMINANT
task_slice	std_completion_len	98	0.4135	0.4245	0.2872	0.5673	no	no	DOMINANT
G	mean_reward	98	0.0304	0.0687	0.0111	0.1704	no	no	SMALL
G	zvf	98	0.4437	0.4642	0.2779	0.636	no	no	DOMINANT
G	pcd	98	0.2304	0.2608	0.1248	0.4189	no	no	DOMINANT
G	mean_completion_len	98	0.017	0.0578	0.0082	0.1447	no	no	SMALL
G	std_completion_len	98	0.034	0.0728	0.0113	0.17	no	no	SMALL
temperature	mean_reward	98	0.0	0.0102	0.0	0.0525	no	yes	SMALL
temperature	zvf	98	0.0092	0.0196	0.0	0.083	no	yes	SMALL
temperature	pcd	98	0.0091	0.0201	0.0	0.0887	no	yes	SMALL
temperature	mean_completion_len	98	0.2066	0.2156	0.0791	0.3869	no	no	DOMINANT
temperature	std_completion_len	98	0.1228	0.1317	0.0242	0.2857	no	no	MODERATE
seed	mean_reward	98	0.0	0.0102	0.0	0.0504	no	yes	SMALL
seed	zvf	98	0.0	0.0103	0.0	0.0497	yes	yes	SMALL
seed	pcd	98	0.0007	0.0105	0.0	0.0512	no	yes	SMALL
seed	mean_completion_len	98	0.0	0.0104	0.0	0.0507	no	yes	SMALL
seed	std_completion_len	98	0.0015	0.0117	0.0	0.0577	no	yes	SMALL
