stack_id	framework	openness	label_claimed	n_components_declared	implemented	surrogate	absent	unknown	managed_by_tinker	n_reproducible	reproducible_fraction
colab-open_dapo_e3	colab-open-trainer	open	dapo	5	4	0	1	0	0	4	0.8000
tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	5	0	1	2	2	0	1	0.2000
colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	2	2	0	0	0	0	2	1.0000
tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	2	0	2	0	0	0	2	1.0000
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	2	0	1	0	1	0	1	0.5000
zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	2	0	0	0	2	0	0	0.0000
colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	1	1	0	0	0	0	1	1.0000
tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	1	1	0	0	0	0	1	1.0000
tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	1	1	0	0	0	0	1	1.0000
tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	1	1	0	0	0	0	1	1.0000
zvf130_cppo	worktree-zvf130-batch	open	cppo	1	0	0	0	1	0	0	0.0000
zvf130_es	worktree-zvf130-batch	open	es	1	0	0	0	1	0	0	0.0000
zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	1	0	0	0	1	0	0	0.0000
zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	1	0	0	0	1	0	0	0.0000
colab-open_grpo_e3	colab-open-trainer	open	grpo	0	0	0	0	0	0	0	0.0000
openrlhf_grpo_qwen3-8b_gsm8k	platform_modal/openrlhf	open	grpo	0	0	0	0	0	0	0	0.0000
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	0	0	0	0	0	0	0	0.0000
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	0	0	0	0	0	0	0	0.0000
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	0	0	0	0	0	0	0	0.0000
verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	0	0	0	0	0	0	0	0.0000
