method	tau	savings_frac	magnitude_retention	fires
grpo	0.5	0.08671875	1.068001247723289	40
grpo	0.55	0.10234375	1.056267524888719	38
grpo	0.6	0.124609375	1.0428842441464476	34
grpo	0.65	0.1421875	1.0334122043309173	31
grpo	0.7	0.21875	1.0000990807735357	20
grpo	0.75	0.21875	1.0000990807735357	20
grpo	0.8	0.269140625	0.9832298651455392	12
grpo	0.85	0.32109375	0.9605613627205676	4
grpo	0.9	0.332421875	0.9589118046498242	2
aero	0.5	0.07421875	1.0659585218962881	40
aero	0.55	0.07421875	1.0659585218962881	40
aero	0.6	0.10390625	1.055278298086441	35
aero	0.65	0.149609375	1.0300288180451045	28
aero	0.7	0.200390625	1.008200286038072	19
aero	0.75	0.200390625	1.008200286038072	19
aero	0.8	0.231640625	0.9993222041953298	14
aero	0.85	0.298046875	0.9752741514609408	4
aero	0.9	0.3171875	0.9724539166067689	1
gift	0.5	0.13046875	1.069846792618975	40
gift	0.55	0.13046875	1.069846792618975	40
gift	0.6	0.15078125	1.0549222608564937	37
gift	0.65	0.19609375	1.025073197134434	30
gift	0.7	0.22421875	1.006160461863408	26
gift	0.75	0.22421875	1.006160461863408	26
gift	0.8	0.280078125	0.9870218859900663	17
gift	0.85	0.298046875	0.9822937017124169	14
gift	0.9	0.33359375	0.9735773135156042	8
areal	0.5	0.078125	1.0529097741210118	40
areal	0.55	0.10703125	1.0284871326880716	36
areal	0.6	0.12578125	1.0131213159768009	33
areal	0.65	0.150390625	1.0003247025454811	29
areal	0.7	0.224609375	0.9595442879689925	17
areal	0.75	0.224609375	0.9595442879689925	17
areal	0.8	0.259375	0.9483249221258486	11
areal	0.85	0.296484375	0.936113600655886	5
areal	0.9	0.320703125	0.931788519244377	1
