rank	feature	feature_class	gain	gain_fraction	cum_gain_fraction
1	V2	raw	130.18345642089844	0.0839766001274782	0.0839766001274782
2	V3	raw	128.0295867919922	0.08258721737850132	0.1665638175059795
3	V11	raw	119.62895965576172	0.07716827917211014	0.24373209667808965
4	V10	raw	116.00785827636719	0.07483243872879511	0.31856453540688473
5	V7	raw	91.69294738769531	0.05914777644550456	0.3777123118523893
6	V5	raw	91.25267028808594	0.0588637697448402	0.4365760815972295
7	V1	raw	82.79212188720703	0.05340617851586951	0.48998226011309903
8	V6	raw	82.6678695678711	0.053326027875975214	0.5433082879890743
9	V12	raw	77.08889770507812	0.049727236584634085	0.5930355245737083
10	V15	raw	70.07830810546875	0.04520496090038097	0.6382404854740893
11	V20	raw	59.4605712890625	0.03835584609421566	0.6765963315683049
12	V16	raw	54.691070556640625	0.03527921510879032	0.7118755466770953
13	V_mean	agg	45.66273880004883	0.02945536754331876	0.7413309142204141
14	V_max	agg	44.36724853515625	0.028619694018165217	0.7699506082385793
15	V18	raw	42.8883056640625	0.027665681907012768	0.797616290145592
16	V_std	agg	41.81222152709961	0.02697153927355025	0.8245878294191422
17	V19	raw	39.0982551574707	0.025220858543082536	0.8498086879622248
18	V9	raw	37.486507415771484	0.02418117885311147	0.8739898668153363
19	V14	raw	35.40393829345703	0.022837789460706623	0.8968276562760429
20	V17	raw	34.24226760864258	0.02208843806644746	0.9189160943424903
21	V4	raw	33.54161071777344	0.021636469858130364	0.9405525642006207
22	V_min	agg	32.664554595947266	0.02107071293895757	0.9616232771395783
23	V13	raw	31.04877281188965	0.02002843103537702	0.9816517081749553
24	V8	raw	28.444162368774414	0.018348291825044688	1.0
