numerator	denominator	numer_density	denom_density	ratio	boot_mean	boot_lo	boot_hi	ci_excludes_1
D1	D2	0.008333	0.5	0.016666	0.0167795891998077	0.0050776942355889735	0.030814217578923452	True
D1	D3	0.008333	0.367347	0.022684273997065445	0.022984324467783868	0.007954545454545454	0.04242424242424243	True
D1	D4	0.008333	0.729297	0.011426071956966778	0.01165459076084866	0.0032858426389423697	0.02115328691173854	True
D1	D5	0.008333	1.0	0.008333	0.008407142857142858	0.002380952380952381	0.014315476190476028	True
D1	D6	0.008333	0.005304	1.5710784313725492	1.5946994019044478	0.4606074679546721	2.888765907868794	False
D1	D7@0.500	0.008333	0.015625	0.533312	0.5936084234045313	0.163265306122449	1.396825396825397	False
D2	D3	0.5	0.367347	1.3611108842592972	1.3819016054560984	1.0208333333333333	1.88125	True
D2	D4	0.5	0.729297	0.6855917410876502	0.6851817743691788	0.5810262220080823	0.7906488366068917	True
D2	D5	0.5	1.0	0.5	0.5002468750000001	0.41875	0.575	True
D2	D6	0.5	0.005304	94.2684766214178	94.33748579636885	78.75623419721872	111.77177179656539	True
D2	D7@0.500	0.5	0.015625	32.0	35.92580117963392	18.887254901960784	75.99999999999999	True
D3	D4	0.367347	0.729297	0.5037001386266501	0.5043150773572387	0.3763539617456711	0.6378177318263342	True
D3	D5	0.367347	1.0	0.367347	0.3667908163265306	0.2755102040816326	0.45918367346938777	True
D3	D6	0.367347	0.005304	69.25848416289593	69.52538909044048	51.08484546337191	89.6501657572022	True
D3	D7@0.500	0.367347	0.015625	23.510208	26.502510814136897	13.527696793002915	53.55102040816327	True
D4	D5	0.729297	1.0	0.729297	0.7291003906250001	0.712109375	0.746884765625	True
D4	D6	0.729297	0.005304	137.49943438914028	137.71721078055972	127.55444157880054	148.40356082846728	True
D4	D7@0.500	0.729297	0.015625	46.675008	51.834830911862035	27.63014705882353	115.75312499999997	True
D5	D6	1.0	0.005304	188.5369532428356	188.6050527488271	176.2642180094787	202.95634379263302	True
D5	D7@0.500	1.0	0.015625	64.0	70.86309634087962	40.0	160.0	True
D6	D7@0.500	0.005304	0.015625	0.339456	0.3777061532501283	0.20165208998358664	0.8227900004705343	True
