decile	fset	cost_ratio	seed	n_decile	pos_decile	min_cost	opt_threshold
1	4sensor	1	42	1000	11	0.004000	0.6100
1	4sensor	1	179	1000	11	0.005000	0.5800
1	4sensor	1	316	1000	11	0.001000	0.6000
1	4sensor	1	7	1000	11	0.004000	0.6300
1	4sensor	1	911	1000	11	0.004000	0.6200
1	4sensor	10	42	1000	11	0.012000	0.5600
1	4sensor	10	179	1000	11	0.007000	0.5600
1	4sensor	10	316	1000	11	0.010000	0.6000
1	4sensor	10	7	1000	11	0.015000	0.5900
1	4sensor	10	911	1000	11	0.026000	0.5800
1	4sensor	100	42	1000	11	0.012000	0.5600
1	4sensor	100	179	1000	11	0.007000	0.5600
1	4sensor	100	316	1000	11	0.011000	0.5500
1	4sensor	100	7	1000	11	0.020000	0.5400
1	4sensor	100	911	1000	11	0.040000	0.5000
1	4sensor	1000	42	1000	11	0.012000	0.5600
1	4sensor	1000	179	1000	11	0.007000	0.5600
1	4sensor	1000	316	1000	11	0.011000	0.5500
1	4sensor	1000	7	1000	11	0.020000	0.5400
1	4sensor	1000	911	1000	11	0.040000	0.5000
1	4sensor	10000	42	1000	11	0.012000	0.5600
1	4sensor	10000	179	1000	11	0.007000	0.5600
1	4sensor	10000	316	1000	11	0.011000	0.5500
1	4sensor	10000	7	1000	11	0.020000	0.5400
1	4sensor	10000	911	1000	11	0.040000	0.5000
2	20raw	1	42	1000	15	0.001000	0.7800
2	20raw	1	179	1000	15	0.001000	0.7600
2	20raw	1	316	1000	15	0.002000	0.6700
2	20raw	1	7	1000	15	0.001000	0.7300
2	20raw	1	911	1000	15	0.002000	0.7100
2	20raw	10	42	1000	15	0.010000	0.7800
2	20raw	10	179	1000	15	0.010000	0.7600
2	20raw	10	316	1000	15	0.011000	0.6700
2	20raw	10	7	1000	15	0.010000	0.7300
2	20raw	10	911	1000	15	0.011000	0.7100
2	20raw	100	42	1000	15	0.034000	0.4200
2	20raw	100	179	1000	15	0.039000	0.4100
2	20raw	100	316	1000	15	0.037000	0.4300
2	20raw	100	7	1000	15	0.030000	0.4300
2	20raw	100	911	1000	15	0.013000	0.5000
2	20raw	1000	42	1000	15	0.034000	0.4200
2	20raw	1000	179	1000	15	0.039000	0.4100
2	20raw	1000	316	1000	15	0.037000	0.4300
2	20raw	1000	7	1000	15	0.030000	0.4300
2	20raw	1000	911	1000	15	0.013000	0.5000
2	20raw	10000	42	1000	15	0.034000	0.4200
2	20raw	10000	179	1000	15	0.039000	0.4100
2	20raw	10000	316	1000	15	0.037000	0.4300
2	20raw	10000	7	1000	15	0.030000	0.4300
2	20raw	10000	911	1000	15	0.013000	0.5000
2	24full	1	42	1000	15	0.001000	0.6800
2	24full	1	179	1000	15	0.001000	0.6200
2	24full	1	316	1000	15	0.001000	0.6700
2	24full	1	7	1000	15	0.001000	0.6900
2	24full	1	911	1000	15	0.002000	0.6200
2	24full	10	42	1000	15	0.004000	0.5900
2	24full	10	179	1000	15	0.001000	0.6200
2	24full	10	316	1000	15	0.010000	0.6700
2	24full	10	7	1000	15	0.009000	0.5600
2	24full	10	911	1000	15	0.002000	0.6200
2	24full	100	42	1000	15	0.004000	0.5900
2	24full	100	179	1000	15	0.001000	0.6200
2	24full	100	316	1000	15	0.012000	0.5000
2	24full	100	7	1000	15	0.009000	0.5600
2	24full	100	911	1000	15	0.002000	0.6200
2	24full	1000	42	1000	15	0.004000	0.5900
2	24full	1000	179	1000	15	0.001000	0.6200
2	24full	1000	316	1000	15	0.012000	0.5000
2	24full	1000	7	1000	15	0.009000	0.5600
2	24full	1000	911	1000	15	0.002000	0.6200
2	24full	10000	42	1000	15	0.004000	0.5900
2	24full	10000	179	1000	15	0.001000	0.6200
2	24full	10000	316	1000	15	0.012000	0.5000
2	24full	10000	7	1000	15	0.009000	0.5600
2	24full	10000	911	1000	15	0.002000	0.6200
2	4sensor	1	42	1000	15	0.014000	0.6900
2	4sensor	1	179	1000	15	0.013000	0.7100
2	4sensor	1	316	1000	15	0.015000	0.6700
2	4sensor	1	7	1000	15	0.014000	0.8600
2	4sensor	1	911	1000	15	0.013000	0.7200
2	4sensor	10	42	1000	15	0.051000	0.5500
2	4sensor	10	179	1000	15	0.081000	0.5800
2	4sensor	10	316	1000	15	0.076000	0.5700
2	4sensor	10	7	1000	15	0.067000	0.5900
2	4sensor	10	911	1000	15	0.065000	0.6100
2	4sensor	100	42	1000	15	0.064000	0.5200
2	4sensor	100	179	1000	15	0.204000	0.4300
2	4sensor	100	316	1000	15	0.104000	0.4900
2	4sensor	100	7	1000	15	0.092000	0.5000
2	4sensor	100	911	1000	15	0.157000	0.5400
