fset	rate	mean_min_cost	median_min_cost	min_min_cost	max_min_cost	mean_catch_at_1pct
20raw	0.0050	0.024123	0.025104	0.020625	0.026736	0.8759
20raw	0.0100	0.029769	0.029444	0.025139	0.033958	0.7412
20raw	0.0144	0.031207	0.031300	0.027900	0.034300	0.6292
20raw	0.0200	0.033537	0.032639	0.031389	0.037083	0.4810
20raw	0.0300	0.035944	0.035208	0.027917	0.043750	0.3259
20raw	0.0500	0.035787	0.035417	0.026042	0.042708	0.2014
24full	0.0050	0.016208	0.016701	0.012153	0.019375	0.9287
24full	0.0100	0.017954	0.019653	0.012222	0.021111	0.8079
24full	0.0144	0.017587	0.019400	0.011800	0.021400	0.6403
24full	0.0200	0.017509	0.019306	0.012361	0.020833	0.4884
24full	0.0300	0.017583	0.017083	0.011042	0.023333	0.3287
24full	0.0500	0.016806	0.017708	0.010069	0.021181	0.2014
23_noVmean	0.0050	0.017127	0.017326	0.015278	0.018333	0.9167
23_noVmean	0.0100	0.020644	0.020417	0.018125	0.022778	0.7778
23_noVmean	0.0144	0.022360	0.023100	0.017700	0.025600	0.6347
23_noVmean	0.0200	0.023296	0.024028	0.018333	0.027361	0.4884
23_noVmean	0.0300	0.025306	0.025833	0.015417	0.035000	0.3287
23_noVmean	0.0500	0.024699	0.023611	0.015625	0.036806	0.2014
23_noVmax	0.0050	0.019458	0.019861	0.017951	0.020799	0.9176
23_noVmax	0.0100	0.023079	0.022500	0.020556	0.026667	0.7778
23_noVmax	0.0144	0.022893	0.022000	0.019900	0.027100	0.6282
23_noVmax	0.0200	0.022750	0.021667	0.020139	0.026250	0.4852
23_noVmax	0.0300	0.022306	0.022500	0.017083	0.027708	0.3250
23_noVmax	0.0500	0.021065	0.020486	0.016319	0.026736	0.2009
4sensor	0.0050	0.146618	0.150972	0.130903	0.157257	0.2931
4sensor	0.0100	0.190458	0.193056	0.172917	0.202500	0.2685
4sensor	0.0144	0.210993	0.214700	0.191800	0.227000	0.2394
4sensor	0.0200	0.221898	0.227778	0.203333	0.233889	0.2139
4sensor	0.0300	0.237486	0.234792	0.212500	0.264792	0.1713
4sensor	0.0500	0.246157	0.240625	0.220486	0.273958	0.1269
