entry_id	record_type	artifact	type	n_paths_in_artifact	all_paths_resolve	resolved_paths
colab-open_dapo_e3	stack	W&B zvf-colab-experiments / E3_open_audit	WANDB	0	0	
colab-open_drgrpo_e3	stack	W&B zvf-colab-experiments / E3_open_audit	WANDB	0	0	
colab-open_grpo-adaptiveg_e3	stack	W&B zvf-colab-experiments / E3_open_audit	WANDB	0	0	
colab-open_grpo_e3	stack	W&B zvf-colab-experiments / E3_open_audit	WANDB	0	0	
openrlhf_grpo_qwen3-8b_gsm8k	stack	platform_hybrid/experiments/framework_config_dumps/openrlhf_qwen3_8b_gsm8k.yaml	PATH_OK	1	1	platform_hybrid/experiments/framework_config_dumps/openrlhf_qwen3_8b_gsm8k.yaml
tinker_aero_qwen3.5-4b_gsm8k	stack	N2 same-stack four-method run (managed sampler, G=8, 1 seed(s), 40 steps); isolated variant label, see platform_hybrid/experiments/results/n2_reward_tensor_resume/aero_s0_tensors.jsonl	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/n2_reward_tensor_resume/aero_s0_tensors.jsonl
tinker_areal_qwen3.5-4b_gsm8k	stack	N2 same-stack four-method run (managed sampler, G=8, 1 seed(s), 40 steps); isolated variant label, see platform_hybrid/experiments/results/n2_reward_tensor_resume/areal_s0_tensors.jsonl	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/n2_reward_tensor_resume/areal_s0_tensors.jsonl
tinker_dapo_qwen3.5-4b_gsm8k	stack	12-cell Tinker head-to-head (internal program records, 2026-06-21)	DESC	0	0	
tinker_drgrpo_qwen3.5-4b_gsm8k	stack	12-cell Tinker head-to-head (internal program records, 2026-06-21)	DESC	0	0	
tinker_gift_qwen3.5-4b_gsm8k	stack	N2 same-stack four-method run (managed sampler, G=8, 1 seed(s), 40 steps); isolated variant label, see platform_hybrid/experiments/results/n2_reward_tensor_resume/gift_s0_tensors.jsonl	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/n2_reward_tensor_resume/gift_s0_tensors.jsonl
tinker_grpo_qwen3-8b_gsm8k	stack	platform_hybrid/experiments/framework_config_dumps/tinker_qwen3_8b_gsm8k.yaml	PATH_OK	1	1	platform_hybrid/experiments/framework_config_dumps/tinker_qwen3_8b_gsm8k.yaml
tinker_grpo_qwen3.5-4b_gsm8k	stack	12-cell Tinker head-to-head (internal program records, 2026-06-21)	DESC	0	0	
tinker_gspo_qwen3.5-4b_gsm8k	stack	12-cell Tinker head-to-head (internal program records, 2026-06-21)	DESC	0	0	
trl_grpo_qwen3-8b_gsm8k	stack	platform_hybrid/experiments/framework_config_dumps/trl_qwen3_8b_gsm8k.yaml	PATH_OK	1	1	platform_hybrid/experiments/framework_config_dumps/trl_qwen3_8b_gsm8k.yaml
verl_grpo_qwen3-8b_gsm8k	stack	platform_hybrid/experiments/framework_config_dumps/verl_qwen3_8b_gsm8k.yaml	PATH_OK	1	1	platform_hybrid/experiments/framework_config_dumps/verl_qwen3_8b_gsm8k.yaml
zvf130_aero	stack	zvf_iter130_method_risk.tsv row method=aero (zvf_risk_mean=0.4301, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_areal	stack	zvf_iter130_method_risk.tsv row method=areal (zvf_risk_mean=0.3319, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_cppo	stack	zvf_iter130_method_risk.tsv row method=cppo (zvf_risk_mean=0.4266, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_es	stack	zvf_iter130_method_risk.tsv row method=es (zvf_risk_mean=0.3051, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_gift	stack	zvf_iter130_method_risk.tsv row method=gift (zvf_risk_mean=0.3145, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_grpo	stack	zvf_iter130_method_risk.tsv row method=grpo (zvf_risk_mean=0.5777, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_mcgrpo	stack	zvf_iter130_method_risk.tsv row method=mcgrpo (zvf_risk_mean=0.4034, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_ngrpo	stack	zvf_iter130_method_risk.tsv row method=ngrpo (zvf_risk_mean=0.4467, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_scafgrpo	stack	zvf_iter130_method_risk.tsv row method=scafgrpo (zvf_risk_mean=0.2253, n_seeds=5); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_tool_use_llama-8b-inst	stack	zvf_iter130_method_risk.tsv row method=tool_use_llama-8b-inst (zvf_risk_mean=0.5474, n_seeds=1); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
zvf130_tool_use_qwen3-32b	stack	zvf_iter130_method_risk.tsv row method=tool_use_qwen3-32b (zvf_risk_mean=0.5474, n_seeds=1); per-method risk index, single-batch harness	DESC_PATH_OK	1	1	platform_hybrid/experiments/results/zvf_iter130_method_risk.tsv
