dataset	rule	mean_G_used	mean_contrast_saved	mean_cost_ratio	mean_net_benefit	frac_under_g16	frac_under_g8
n2	static_g8	8.0000	0.000000	1.0000	0.000000	1.0000	1.0000
n2	static_g16	16.0000	0.184351	2.0000	-0.315649	0.0000	0.0000
n2	dualformer	3.2000	-0.142216	0.4000	-0.142216	1.0000	1.0000
n2	alphaproof	8.0000	0.000000	1.0000	0.000000	1.0000	1.0000
n2	adaptive_gstar	29.3000	0.314865	3.6625	-1.016385	0.0375	0.0375
n2	ccc	20.3000	0.177868	2.5375	-0.590882	0.4875	0.4875
n10	static_g8	8.0000	-0.000000	1.0000	-0.000000	1.0000	1.0000
n10	static_g16	16.0000	0.218750	2.0000	-0.281250	0.0000	0.0000
n10	dualformer	26.6133	0.348101	3.3267	-0.818566	0.0800	0.0800
n10	alphaproof	8.0000	-0.000000	1.0000	-0.000000	1.0000	1.0000
n10	adaptive_gstar	18.5600	0.200318	2.3200	-0.459682	0.4000	0.4000
n10	ccc	14.7200	0.115615	1.8400	-0.304385	0.7200	0.7200
