metric	n_total	n_sig	sig_rate	mean_abs_delta	mean_ci_width	n_panels	n_entries	entries_list
zvf_risk_mean	8	8	1.0000	0.217239	0.219907	1	8	delta_aero;delta_areal;delta_cppo;delta_es;delta_gift;delta_mcgrpo;delta_ngrpo;delta_scafgrpo
mean_zvf	8	0	0.0000	0.277303	0.006825	1	8	delta_aero;delta_areal;delta_cppo;delta_es;delta_gift;delta_mcgrpo;delta_ngrpo;delta_scafgrpo
mag_mean	5	5	1.0000	0.246288	0.006984	1	5	delta_cppo;delta_es;delta_mcgrpo;delta_ngrpo;delta_scafgrpo
reward_mean	4	2	0.5000	0.014453	0.030566	2	4	delta_adaptiveg;delta_aero;delta_areal;delta_gift
zvf	4	2	0.5000	0.070117	0.094336	2	4	delta_adaptiveg;delta_aero;delta_areal;delta_gift
pcd	3	1	0.3333	0.009570	0.014192	1	3	delta_aero;delta_areal;delta_gift
mean_len	3	2	0.6667	21.697396	10.292708	1	3	delta_aero;delta_areal;delta_gift
neg_frac	1	1	1.0000	0.102800	0.076300	1	1	delta_drgrpo
pos_frac	1	0	0.0000	0.100100	0.217200	1	1	delta_drgrpo
L_star	1	0	0.0000	44.250300	144.205200	1	1	delta_drgrpo
