delta_id	name	measured_count	expected_count	validated_count	n_significant	pct_significant	min_n	max_n	supports	contradicts	neutral	unclaimed	n_src_resolved_ok	n_src_missing	panels	metrics	citation_arxiv
delta_adaptiveg	Adaptive-G (ZVF-driven)	2	2	2	1	50.0	16	16	1	0	1	0	2	0	qp7_adaptive_armB_vs_armA_paired	reward_mean;zvf	NR
delta_aero	AERO	6	3	6	3	50.0	5	10	2	0	1	3	6	0	n2_same_stack_last10;zvf130_5seed	mean_len;mean_zvf;pcd;reward_mean;zvf;zvf_risk_mean	2509.21880
delta_areal	AREAL	6	3	6	3	50.0	5	10	2	0	1	3	6	0	n2_same_stack_last10;zvf130_5seed	mean_len;mean_zvf;pcd;reward_mean;zvf;zvf_risk_mean	2505.24298
delta_cppo	CPPO	3	1	3	2	66.67	5	5	1	0	0	2	3	0	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	2503.22342
delta_dapo	DAPO	0	3	0	0	0.0	0	0	0	0	0	0	0	0			2503.14476
delta_drgrpo	Dr. GRPO	3	3	3	1	33.33	2	2	0	1	2	0	3	0	length_bias_iter60_grpo_vs_drgrpo_paired	L_star;neg_frac;pos_frac	2503.20783
delta_es	ES	3	1	3	2	66.67	5	5	1	0	0	2	3	0	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	2509.24372
delta_gift	GIFT	6	3	6	3	50.0	5	10	2	0	1	3	6	0	n2_same_stack_last10;zvf130_5seed	mean_len;mean_zvf;pcd;reward_mean;zvf;zvf_risk_mean	2510.23868
delta_gspo	GSPO	0	3	0	0	0.0	0	0	0	0	0	0	0	0			2507.18071
delta_liteppo	LitePPO	0	0	0	0	0.0	0	0	0	0	0	0	0	0			NR
delta_mcgrpo	MCGRPO	3	1	3	2	66.67	5	5	1	0	0	2	3	0	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	2601.22582
delta_ngrpo	NGRPO	3	1	3	2	66.67	5	5	1	0	0	2	3	0	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	2509.18851
delta_ppo	PPO	0	3	0	0	0.0	0	0	0	0	0	0	0	0			1707.06347
delta_ppo_reinforce	PPO+REINFORCE	0	3	0	0	0.0	0	0	0	0	0	0	0	0			1707.06347
delta_reinforce	REINFORCE	0	0	0	0	0.0	0	0	0	0	0	0	0	0			NR
delta_scafgrpo	SCAFGRPO	3	1	3	2	66.67	5	5	1	0	0	2	3	0	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	2510.19807
delta_tool_use_llama-8b-inst	tool_use_llama-8b-inst	1	0	0	0	0.0	1	1	0	0	0	0	1	0	zvf130_1seed_tooluse	zvf_risk_mean	NR
delta_tool_use_qwen3-32b	tool_use_qwen3-32b	1	0	0	0	0.0	1	1	0	0	0	0	1	0	zvf130_1seed_tooluse	zvf_risk_mean	NR
