item_id	item_name	schema_status	emit_status	n_cells_emitted	n_cells_recoverable	recovery_method	harvest_cost
Item01	model_family	live	yes_live	98	98	direct	0
Item02	ref_policy_kl	live_NA	yes_live	98	98	direct	0
Item03	reward_model_signature	schema_only	ABSENT	0	0	not_recoverable_no_source	inf
Item04	rollout_temperature	live	yes_cells	98	98	cells_tsv	0
Item05	group_size	live	yes_live	98	98	direct	0
Item06	heldout_split	live	yes_live	98	98	direct	0
Item07	decontamination_notes	live	yes_live	98	98	direct	0
Item08	loss_form	live_NA	yes_live	98	98	direct	0
Item09	sampler_backend_precision	live	yes_live	98	98	direct	0
Item10	advantage_baseline	schema_only	ABSENT	0	0	not_recoverable_no_source	inf
Item11	token_mask	schema_only	ABSENT	0	0	not_recoverable_no_source	inf
Item12	kl_beta	schema_only	ABSENT	0	0	not_recoverable_no_source	inf
Item13	zvf_per_step	live	yes_live	98	98	direct	0
Item14	K_variance_residual	DERIVABLE	ABSENT	0	98	deterministic_from_per_step_zvf_path	0
Item15	K_unique_count	DERIVABLE	ABSENT	0	98	deterministic_from_per_step_zvf_path	0
Item16	max_K_share_PLACEBO	DERIVABLE_REJECTED	ABSENT	0	98	deterministic_from_per_step_zvf_path	0
Item17	prompt_p_hat_var	DERIVABLE	ABSENT	0	98	deterministic_from_per_step_zvf_path	0
Item18	zvf130_risk_residual	schema_only	ABSENT	0	0	not_recoverable_no_source	inf
