tau	n10_mean_savings	n10_ci_lo	n10_ci_hi	n10_ci_width	n10_excludes_zero	n10_cv_savings	n2_method_cv
0.3	0.4666666666666667	0.42	0.5	0.08000000000000002	True	0.1237179148263484	0.038579417472670775
0.35	0.4666666666666667	0.42	0.5	0.08000000000000002	True	0.1237179148263484	0.038579417472670775
0.4	0.42	0.37333333333333335	0.46	0.08666666666666667	True	0.13280317881493264	0.038579417472670775
0.45	0.42	0.37333333333333335	0.46	0.08666666666666667	True	0.13280317881493264	0.038579417472670775
0.5	0.42	0.37333333333333335	0.46	0.08666666666666667	True	0.13280317881493264	0.038579417472670775
0.55	0.3	0.25333333333333335	0.3333333333333333	0.07999999999999996	True	0.1924500897298752	0.038579417472670775
0.6	0.3	0.25333333333333335	0.3333333333333333	0.07999999999999996	True	0.1924500897298752	0.038579417472670775
0.65	0.14	0.10666666666666666	0.18	0.07333333333333333	True	0.35315230890931726	0.038579417472670775
0.7	0.14	0.10666666666666666	0.18	0.07333333333333333	True	0.35315230890931726	0.038579417472670775
0.75	0.14	0.10666666666666666	0.18	0.07333333333333333	True	0.35315230890931726	0.038579417472670775
0.8	0.02	0.0	0.04666666666666667	0.04666666666666667	False	1.4907119849998598	0.038579417472670775
