tau	n_seeds	mean_fire_rate	ci_lo	ci_hi	sd_across_seeds	cv_across_seeds	min_fire_rate	max_fire_rate	max_min_spread
0.3	5	0.0667	0.0	0.1733	0.1155	1.7321	0.0	0.2667	0.2667
0.35	5	0.0667	0.0	0.1733	0.1155	1.7321	0.0	0.2667	0.2667
0.4	5	0.16	0.08	0.2533	0.1116	0.6972	0.0667	0.3333	0.2667
0.45	5	0.16	0.08	0.2533	0.1116	0.6972	0.0667	0.3333	0.2667
0.5	5	0.16	0.08	0.2533	0.1116	0.6972	0.0667	0.3333	0.2667
0.55	5	0.4	0.3333	0.5067	0.1155	0.2887	0.3333	0.6	0.2667
0.6	5	0.4	0.3333	0.5067	0.1155	0.2887	0.3333	0.6	0.2667
0.65	5	0.72	0.6533	0.8	0.0989	0.1373	0.6	0.8667	0.2667
0.7	5	0.72	0.6533	0.8	0.0989	0.1373	0.6	0.8667	0.2667
0.75	5	0.72	0.6533	0.8	0.0989	0.1373	0.6	0.8667	0.2667
0.8	5	0.96	0.9067	1.0	0.0596	0.0621	0.8667	1.0	0.1333
