metric	panel	base	method	n	mean_base	mean_method	delta_method_minus_base	ci_low	ci_high	significant	data_source	ci_method
zvf	n2_same_stack_last10	grpo	aero	10	0.775	0.75	-0.025	-0.0625	0.0125	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
zvf	n2_same_stack_last10	grpo	gift	10	0.775	0.9	0.125	0.08125	0.18125	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
zvf	n2_same_stack_last10	grpo	areal	10	0.775	0.71875	-0.05625	-0.1125	0.0	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
reward_mean	n2_same_stack_last10	grpo	aero	10	0.8609375	0.846875	-0.014063	-0.023438	-0.005469	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
reward_mean	n2_same_stack_last10	grpo	gift	10	0.8609375	0.87734375	0.016406	-0.00625	0.038281	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
reward_mean	n2_same_stack_last10	grpo	areal	10	0.8609375	0.84140625	-0.019531	-0.032031	-0.007812	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
pcd	n2_same_stack_last10	grpo	aero	10	0.0369140625	0.03984375	0.00293	-0.002539	0.008887	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
pcd	n2_same_stack_last10	grpo	gift	10	0.0369140625	0.01845703125	-0.018457	-0.027246	-0.010352	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
pcd	n2_same_stack_last10	grpo	areal	10	0.0369140625	0.04423828125	0.007324	-0.00127	0.015039	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
mean_len	n2_same_stack_last10	grpo	aero	10	319.6109375	350.68828125	31.077344	27.283594	35.120312	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
mean_len	n2_same_stack_last10	grpo	gift	10	319.6109375	315.721875	-3.889063	-10.446875	3.182812	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
mean_len	n2_same_stack_last10	grpo	areal	10	319.6109375	349.73671875	30.125781	25.489062	34.648438	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
cv_len	n2_same_stack_last10	grpo	aero	10	0.32525414626570626	0.29089681904009457	-0.034357	-0.046717	-0.023598	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
cv_len	n2_same_stack_last10	grpo	gift	10	0.32525414626570626	0.3272327043023562	0.001979	-0.00936	0.013376	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
cv_len	n2_same_stack_last10	grpo	areal	10	0.32525414626570626	0.2869562033577244	-0.038298	-0.047668	-0.029338	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
frac_all_zero	n2_same_stack_last10	grpo	aero	10	0.05	0.05625	0.00625	-0.0125	0.025	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
frac_all_zero	n2_same_stack_last10	grpo	gift	10	0.05	0.075	0.025	0.00625	0.04375	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
frac_all_zero	n2_same_stack_last10	grpo	areal	10	0.05	0.0625	0.0125	-0.01875	0.0375	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
frac_all_one	n2_same_stack_last10	grpo	aero	10	0.725	0.69375	-0.03125	-0.06875	0.00625	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
frac_all_one	n2_same_stack_last10	grpo	gift	10	0.725	0.825	0.1	0.0625	0.15	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	paired_step_bootstrap_pct n_boot=2000 seed=20260706
