method	controller	n	mean_g	mean_cost_ratio	ci95_cost_lo	ci95_cost_hi	mean_contrast_retention	ci95_ret_lo	ci95_ret_hi	mean_fire_rate	ci95_fire_lo	ci95_fire_hi
grpo	STATIC_G4	40	4	0.5000	0.5000	0.5000	0.7458	0.7339	0.7576	1	1	1
grpo	STATIC_G8	40	8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0	0	0
grpo	STATIC_G16	40	16	2.0000	2.0000	2.0000	1.1594	1.1427	1.1768	1	1	1
grpo	DUALFORMER_STEP	40	10.4000	1.3000	1.0750	1.5250	1.0168	1.0028	1.0347	0.1000	0.0250	0.1750
grpo	UNIFIED_STEP_C4	40	12	1.5000	1.3750	1.6250	1.0841	1.0594	1.1106	0.5000	0.3750	0.6250
aero	STATIC_G4	40	4	0.5000	0.5000	0.5000	0.7571	0.7431	0.7708	1	1	1
aero	STATIC_G8	40	8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0	0	0
aero	STATIC_G16	40	16	2.0000	2.0000	2.0000	1.1467	1.1272	1.1669	1	1	1
aero	DUALFORMER_STEP	40	10.4000	1.3000	1.0750	1.5250	1.0104	1.0016	1.0221	0.1000	0.0250	0.1750
aero	UNIFIED_STEP_C4	40	11.8000	1.4750	1.3500	1.6000	1.0742	1.0494	1.1004	0.4750	0.3500	0.6000
gift	STATIC_G4	40	4	0.5000	0.5000	0.5000	0.7340	0.6945	0.7646	1	1	1
gift	STATIC_G8	40	8	1.0000	1.0000	1.0000	0.9750	0.9250	1.0000	0	0	0
gift	STATIC_G16	40	16	2.0000	2.0000	2.0000	1.1259	1.0643	1.1695	1	1	1
gift	DUALFORMER_STEP	40	16.4000	2.0500	1.6750	2.4250	1.0540	0.9886	1.1105	0.3500	0.2250	0.4750
gift	UNIFIED_STEP_C4	40	13.2000	1.6500	1.5250	1.7750	1.0649	1.0067	1.1112	0.6500	0.5250	0.7750
areal	STATIC_G4	40	4	0.5000	0.5000	0.5000	0.7478	0.7354	0.7603	1	1	1
areal	STATIC_G8	40	8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0	0	0
areal	STATIC_G16	40	16	2.0000	2.0000	2.0000	1.1602	1.1410	1.1790	1	1	1
areal	DUALFORMER_STEP	40	11	1.3750	1.1500	1.6750	1.0293	1.0077	1.0554	0.1250	0.0500	0.2250
areal	UNIFIED_STEP_C4	40	11.4000	1.4250	1.3000	1.5500	1.0645	1.0419	1.0886	0.4250	0.3000	0.5500
