delta_id	method	metric	panel	delta	ci_low	ci_high	n	significant	source
delta_aero	aero	zvf	n2_same_stack_last10	-0.025	-0.0625	0.0125	10	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_aero	aero	reward_mean	n2_same_stack_last10	-0.014063	-0.023438	-0.005469	10	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_aero	aero	zvf_risk_mean	zvf130_5seed	-0.147637	-0.285921	-0.009354	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_aero	aero	mean_zvf	zvf130_5seed	-0.26052	-0.26052	-0.26052	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_areal	areal	zvf	n2_same_stack_last10	-0.05625	-0.1125	0.00625	10	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_areal	areal	reward_mean	n2_same_stack_last10	-0.019531	-0.032031	-0.007812	10	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_areal	areal	zvf_risk_mean	zvf130_5seed	-0.245767	-0.354535	-0.137	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_areal	areal	mean_zvf	zvf130_5seed	-0.35988	-0.35988	-0.35988	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_cppo	cppo	zvf_risk_mean	zvf130_5seed	-0.151077	-0.253342	-0.048813	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_cppo	cppo	mean_zvf	zvf130_5seed	-0.18558	-0.18558	-0.18558	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_es	es	zvf_risk_mean	zvf130_5seed	-0.272578	-0.374617	-0.170539	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_es	es	mean_zvf	zvf130_5seed	-0.36656	-0.36656	-0.36656	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_gift	gift	zvf	n2_same_stack_last10	0.125	0.08125	0.175	10	True	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_gift	gift	reward_mean	n2_same_stack_last10	0.016406	-0.007031	0.039844	10	False	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_gift	gift	zvf_risk_mean	zvf130_5seed	-0.263187	-0.365427	-0.160948	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_gift	gift	mean_zvf	zvf130_5seed	-0.36658	-0.36658	-0.36658	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_mcgrpo	mcgrpo	zvf_risk_mean	zvf130_5seed	-0.174277	-0.288771	-0.059783	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_mcgrpo	mcgrpo	mean_zvf	zvf130_5seed	-0.33474	-0.33474	-0.33474	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_ngrpo	ngrpo	zvf_risk_mean	zvf130_5seed	-0.131025	-0.239395	-0.022656	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_ngrpo	ngrpo	mean_zvf	zvf130_5seed	-0.18042	-0.18042	-0.18042	5	False	experiments/results/zvf_iter130_method_risk.tsv
delta_scafgrpo	scafgrpo	zvf_risk_mean	zvf130_5seed	-0.352361	-0.455533	-0.249189	5	True	experiments/results/zvf_iter130_method_risk.tsv
delta_scafgrpo	scafgrpo	mean_zvf	zvf130_5seed	-0.16414	-0.16414	-0.16414	5	False	experiments/results/zvf_iter130_method_risk.tsv
