method	controller	mean_cost	ci95_cost_lo	ci95_cost_hi	contrast_retention	ci95_ret_lo	ci95_ret_hi	mean_cm	mag_per_cost
grpo	STATIC_G8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2300	0.2300
grpo	STATIC_G16	2.0000	2.0000	2.0000	1.1523	1.1324	1.1731	0.2650	0.1325
grpo	DUALFORMER_PP	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2300	0.2300
grpo	ADAPTIVE_PP_ORACLE	1.8391	1.7359	1.9516	1.2089	1.1794	1.2396	0.2780	0.1512
grpo	UNIFIED_C4	1.0969	1.0750	1.1203	1.0564	1.0416	1.0725	0.2430	0.2215
aero	STATIC_G8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2344	0.2344
aero	STATIC_G16	2.0000	2.0000	2.0000	1.1366	1.1166	1.1569	0.2664	0.1332
aero	DUALFORMER_PP	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2344	0.2344
aero	ADAPTIVE_PP_ORACLE	1.8391	1.7266	1.9422	1.1870	1.1574	1.2171	0.2782	0.1513
aero	UNIFIED_C4	1.0891	1.0688	1.1141	1.0469	1.0350	1.0607	0.2454	0.2253
gift	STATIC_G8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1903	0.1903
gift	STATIC_G16	2.0000	2.0000	2.0000	1.1458	1.1237	1.1695	0.2180	0.1090
gift	DUALFORMER_PP	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1903	0.1903
gift	ADAPTIVE_PP_ORACLE	1.6891	1.5906	1.7875	1.2003	1.1677	1.2345	0.2284	0.1352
gift	UNIFIED_C4	1.1000	1.0766	1.1219	1.0544	1.0398	1.0708	0.2006	0.1824
areal	STATIC_G8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2405	0.2405
areal	STATIC_G16	2.0000	2.0000	2.0000	1.1540	1.1351	1.1744	0.2776	0.1388
areal	DUALFORMER_PP	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2405	0.2405
areal	ADAPTIVE_PP_ORACLE	1.8813	1.7688	1.9891	1.2135	1.1819	1.2461	0.2919	0.1552
areal	UNIFIED_C4	1.0797	1.0594	1.1031	1.0392	1.0269	1.0537	0.2500	0.2315
