method	pillar	headline_metric
grpo	P5	0.834180
grpo	P6	-0.720313
grpo	P7	10.643475
grpo	P8	0.002406
aero	P5	0.827539
aero	P6	-0.720313
aero	P7	10.340031
aero	P8	0.002282
areal	P5	0.828711
areal	P6	-0.706250
areal	P7	10.683410
areal	P8	0.002283
gift	P5	0.844727
gift	P6	-0.770312
gift	P7	10.391543
gift	P8	0.002442
