decile	p1	p2	rho	lo	hi	ci_positive	ci_negative
1	P5	P6	0.4000	-0.8000	1.0000	0	0
1	P5	P7	1.0000	-0.2000	1.0000	0	0
1	P5	P8	1.0000	0.0000	1.0000	0	0
1	P6	P7	0.4000	-0.8000	1.0000	0	0
1	P6	P8	0.4000	-1.0000	1.0000	0	0
1	P7	P8	1.0000	-0.8000	1.0000	0	0
2	P5	P6	-0.8000	-1.0000	0.4000	0	0
2	P5	P7	0.8000	-0.4000	1.0000	0	0
2	P5	P8	0.0000	-0.8000	1.0000	0	0
2	P6	P7	-1.0000	-1.0000	0.6000	0	0
2	P6	P8	-0.4000	-1.0000	0.8000	0	0
2	P7	P8	0.4000	-1.0000	0.8000	0	0
3	P5	P6	0.2000	-1.0000	0.8000	0	0
3	P5	P7	0.8000	0.0000	1.0000	0	0
3	P5	P8	0.8000	-0.8000	1.0000	0	0
3	P6	P7	-0.4000	-1.0000	0.8000	0	0
3	P6	P8	-0.4000	-1.0000	0.4000	0	0
3	P7	P8	1.0000	-0.8000	1.0000	0	0
4	P5	P6	-0.8000	-1.0000	0.6000	0	0
4	P5	P7	0.8000	-0.2000	1.0000	0	0
4	P5	P8	-0.4000	-1.0000	0.8000	0	0
4	P6	P7	-0.4000	-0.8000	0.8000	0	0
4	P6	P8	0.2000	-1.0000	0.4000	0	0
4	P7	P8	-0.8000	-1.0000	-0.2000	0	1
5	P5	P6	-0.8000	-1.0000	0.8000	0	0
5	P5	P7	-0.2000	-0.8000	0.8000	0	0
5	P5	P8	1.0000	0.0000	1.0000	0	0
5	P6	P7	0.4000	-0.6000	1.0000	0	0
5	P6	P8	-0.8000	-1.0000	0.4000	0	0
5	P7	P8	-0.2000	-0.8000	-0.2000	0	1
6	P5	P6	0.4000	-0.8000	0.8000	0	0
6	P5	P7	0.8000	-0.8000	1.0000	0	0
6	P5	P8	-0.4000	-1.0000	0.8000	0	0
6	P6	P7	-0.2000	-0.8000	0.8000	0	0
6	P6	P8	-1.0000	-1.0000	0.4000	0	0
6	P7	P8	0.2000	-1.0000	0.8000	0	0
7	P5	P6	-0.2000	-0.8000	0.8000	0	0
7	P5	P7	0.2000	0.0000	1.0000	0	0
7	P5	P8	-0.2000	-1.0000	-0.2000	0	1
7	P6	P7	0.6000	-0.8000	1.0000	0	0
7	P6	P8	-0.6000	-1.0000	0.6000	0	0
7	P7	P8	-1.0000	-1.0000	-0.2000	0	1
8	P5	P6	0.4000	-0.8000	1.0000	0	0
8	P5	P7	-1.0000	-1.0000	0.8000	0	0
8	P5	P8	0.4000	-0.8000	1.0000	0	0
8	P6	P7	-0.4000	-1.0000	0.8000	0	0
8	P6	P8	-0.6000	-1.0000	0.8000	0	0
8	P7	P8	-0.4000	-1.0000	0.8000	0	0
9	P5	P6	-0.4000	-1.0000	0.6000	0	0
9	P5	P7	-0.6000	-1.0000	0.8000	0	0
9	P5	P8	1.0000	-0.4000	1.0000	0	0
9	P6	P7	-0.4000	-1.0000	1.0000	0	0
9	P6	P8	-0.4000	-1.0000	0.4000	0	0
9	P7	P8	-0.6000	-1.0000	0.0000	0	0
10	P5	P6	0.8000	-1.0000	1.0000	0	0
10	P5	P7	0.8000	0.4000	1.0000	1	0
10	P5	P8	-0.4000	-1.0000	0.8000	0	0
10	P6	P7	0.4000	-1.0000	1.0000	0	0
10	P6	P8	0.2000	-0.8000	1.0000	0	0
10	P7	P8	-0.8000	-1.0000	0.4000	0	0
