method	controller	total_rollouts	baseline_rollouts	cost_ratio	n_fires	n_escalated	n_deescalated	total_delta_yield	mean_delta_yield_per_prompt	yield_per_1000_extra_rollouts
grpo	C0_fixed	5120	5120	1.0	0	0	0	0.0	0.0	inf
grpo	C1_zvf_triage	7680	5120	1.5	320	320	0	8.2973	0.013	3.24
grpo	C2_dualformer	3354	5120	0.6551	609	127	482	-6.139	-0.0096	inf
grpo	C3_hybrid	7296	5120	1.425	320	288	32	7.862	0.0123	3.61
grpo	C4_bayesian	10240	5120	2.0	640	640	0	22.4106	0.035	4.38
grpo	C5_iso_g_0.50	4512	5120	0.8812	179	0	179	-34.2148	-0.0535	inf
grpo	C5_iso_g_0.70	4956	5120	0.968	179	75	104	-5.1652	-0.0081	inf
grpo	C5_iso_g_0.90	6316	5120	1.2336	179	126	53	23.229	0.0363	19.42
grpo	C5_iso_g_0.95	6482	5120	1.266	147	126	21	25.7271	0.0402	18.89
aero	C0_fixed	5120	5120	1.0	0	0	0	0.0	0.0	inf
aero	C1_zvf_triage	7552	5120	1.475	304	304	0	7.0402	0.011	2.89
aero	C2_dualformer	3466	5120	0.677	611	137	474	-4.1325	-0.0065	inf
aero	C3_hybrid	7360	5120	1.4375	304	288	16	6.8684	0.0107	3.07
aero	C4_bayesian	10240	5120	2.0	640	640	0	20.4905	0.032	4.0
aero	C5_iso_g_0.50	4476	5120	0.8742	179	0	179	-37.9403	-0.0593	inf
aero	C5_iso_g_0.70	4904	5120	0.9578	179	68	111	-6.7761	-0.0106	inf
aero	C5_iso_g_0.90	6170	5120	1.2051	179	114	65	20.5929	0.0322	19.61
aero	C5_iso_g_0.95	6328	5120	1.2359	146	114	32	23.0062	0.0359	19.04
gift	C0_fixed	5120	5120	1.0	0	0	0	0.0	0.0	inf
gift	C1_zvf_triage	8448	5120	1.65	416	416	0	6.6186	0.0103	1.99
gift	C2_dualformer	3178	5120	0.6207	615	119	496	-3.7037	-0.0058	inf
gift	C3_hybrid	6912	5120	1.35	416	288	128	4.4348	0.0069	2.47
gift	C4_bayesian	10240	5120	2.0	640	640	0	17.7491	0.0277	3.47
gift	C5_iso_g_0.50	4608	5120	0.9	147	0	147	-29.5229	-0.0461	inf
gift	C5_iso_g_0.70	4968	5120	0.9703	147	60	87	-4.7311	-0.0074	inf
gift	C5_iso_g_0.90	6058	5120	1.1832	147	98	49	18.2847	0.0286	19.49
gift	C5_iso_g_0.95	6188	5120	1.2086	120	98	22	20.2682	0.0317	18.98
areal	C0_fixed	5120	5120	1.0	0	0	0	0.0	0.0	inf
areal	C1_zvf_triage	7296	5120	1.425	272	272	0	6.0359	0.0094	2.77
areal	C2_dualformer	3448	5120	0.6734	619	136	483	-10.5017	-0.0164	inf
areal	C3_hybrid	7104	5120	1.3875	272	256	16	5.7256	0.0089	2.89
areal	C4_bayesian	10240	5120	2.0	640	640	0	23.7031	0.037	4.63
areal	C5_iso_g_0.50	4494	5120	0.8777	188	0	188	-34.3751	-0.0537	inf
areal	C5_iso_g_0.70	4952	5120	0.9672	188	84	104	-5.2173	-0.0082	inf
areal	C5_iso_g_0.90	6416	5120	1.2531	188	124	64	25.0485	0.0391	19.33
areal	C5_iso_g_0.95	6582	5120	1.2855	145	124	21	27.7006	0.0433	18.95
