section	k1	k2	k3	k4	k5	k6	k7	value
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	2	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	4	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	8	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	humaneval_subset	16	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	2	1.0	0	1	badge=72.5,|dR|=0.015625	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.6	0	1	badge=72.5,|dR|=0.014648	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	32	1.0	0	1	badge=72.5,|dR|=0.003906	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.6	0	1	badge=72.5,|dR|=0.015625	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	4	1.0	0	1	badge=72.5,|dR|=0.023438	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	8	0.6	0	1	badge=72.5,|dR|=0.007812	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	8	1.0	0	1	badge=72.5,|dR|=0.015625	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.6	0	1	badge=72.5,|dR|=0.001953	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_hard	16	1.0	0	1	badge=72.5,|dR|=0.001953	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.6	0	1	badge=72.5,|dR|=0.046875	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	2	1.0	0	1	badge=72.5,|dR|=0.046875	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.6	0	1	badge=72.5,|dR|=0.001953	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	32	1.0	0	1	badge=72.5,|dR|=0.000977	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.6	0	1	badge=72.5,|dR|=0.046875	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.6	0	1	badge=72.5,|dR|=0.042969	
H1_pair	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.6	0	1	badge=72.5,|dR|=0.005859	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	2	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	2	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	4	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	4	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	8	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	8	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	16	1.0	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	humaneval_subset	16	0.6	0	1	badge=72.5,|dR|=0.000000	
H1_pair	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.6	0	1	badge=72.5,|dR|=0.078125	
H1_pair	Qwen/Qwen3.5-4B	gsm8k_hard	2	1.0	0	1	badge=72.5,|dR|=0.078125	
H1_pair	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.6	0	1	badge=72.5,|dR|=0.004883	
H1_pair	Qwen/Qwen3.5-4B	gsm8k_hard	32	1.0	0	1	badge=72.5,|dR|=0.028320	
H1_pair	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.6	0	1	badge=72.5,|dR|=0.171875	
H1_pair	Qwen/Qwen3.5-4B	gsm8k_hard	4	1.0	0	1	badge=72.5,|dR|=0.015625	
