cite_key	doi	in_bib	matches	bib_year	crossref_year	bib_title	crossref_title	bib_authors	crossref_authors	author_overlap	year_match	title_match	author_match	verdict
mitchell2019modelcards	10.1145/3287560.3287596	True	True	2019	2019	Model Cards for Model Reporting	Model Cards for Model Reporting	Mitchell, Margaret and Wu, Simone and Zaldivar, Andrew and Barnes, Parker and Vasserman, Lucy and Hutchinson, Ben and Spitzer, Elena and Raji, Inioluwa Deborah and Gebru, Timnit	Mitchell Wu Zaldivar Barnes Vasserman Hutchinson Spitzer Raji Gebru	1.0	True	True	True	OK
gebru2021datasheets	10.1145/3458723	True	True	2021	2021	Datasheets for Datasets	Datasheets for datasets	Gebru, Timnit and Morgenstern, Jamie and Vecchione, Briana and Vaughan, Jennifer Wortman and Wallach, Hanna and Daum{\'e	Gebru Morgenstern Vecchione Vaughan Wallach III Crawford	0.714	True	True	True	OK
bender2018datastatements	10.1162/tacl_a_00041	True	True	2018	2018	Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science	Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science	Bender, Emily M. and Friedman, Batya	Bender Friedman	1.0	True	True	True	OK
pushkarna2022datacards	10.1145/3531146.3533231	True	True	2022	2022	Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI	Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI	Pushkarna, Mahima and Zaldivar, Andrew and Kjartansson, Oddur	Pushkarna Zaldivar Kjartansson	1.0	True	True	True	OK
