method	controller	n_cells	mean_cost	ci95_cost_lo	ci95_cost_hi	mean_retention	ci95_ret_lo	ci95_ret_hi	mean_mag_per_cost	ci95_mpc_lo	ci95_mpc_hi
grpo	STATIC_G8	640	1.0	1.0	1.0	0.2797	0.2469	0.3094	0.23	0.2053	0.2556
grpo	STATIC_G16	640	2.0	2.0	2.0	0.3294	0.2902	0.3652	0.1325	0.1185	0.1468
grpo	DUALFORMER_PP	640	1.0	1.0	1.0	0.2797	0.2469	0.3094	0.23	0.2053	0.2556
grpo	ADAPTIVE_PP_ORACLE	640	1.8391	1.7453	1.9328	0.3489	0.3068	0.3866	0.0695	0.0621	0.0769
grpo	UNIFIED_C4	640	1.0969	1.0766	1.1187	0.2983	0.2626	0.331	0.1973	0.1761	0.2191
aero	STATIC_G8	640	1.0	1.0	1.0	0.2797	0.2484	0.3109	0.2344	0.2099	0.259
aero	STATIC_G16	640	2.0	2.0	2.0	0.325	0.2873	0.3606	0.1332	0.1196	0.1471
aero	DUALFORMER_PP	640	1.0	1.0	1.0	0.2797	0.2484	0.3109	0.2344	0.2099	0.259
aero	ADAPTIVE_PP_ORACLE	640	1.8391	1.75	1.9328	0.3427	0.3021	0.3811	0.0695	0.0622	0.0769
aero	UNIFIED_C4	640	1.0891	1.0703	1.1094	0.2952	0.2607	0.3279	0.2031	0.181	0.2253
gift	STATIC_G8	640	1.0	1.0	1.0	0.2297	0.2	0.2578	0.1903	0.166	0.2135
gift	STATIC_G16	640	2.0	2.0	2.0	0.2691	0.2343	0.3034	0.109	0.0958	0.1223
gift	DUALFORMER_PP	640	1.0	1.0	1.0	0.2297	0.2	0.2578	0.1903	0.166	0.2135
gift	ADAPTIVE_PP_ORACLE	640	1.6891	1.6047	1.7734	0.2847	0.2481	0.3217	0.0571	0.0501	0.0641
gift	UNIFIED_C4	640	1.1	1.0813	1.1203	0.2443	0.2125	0.2745	0.1527	0.1334	0.173
areal	STATIC_G8	640	1.0	1.0	1.0	0.2938	0.2625	0.3266	0.2405	0.215	0.265
areal	STATIC_G16	640	2.0	2.0	2.0	0.347	0.3085	0.3864	0.1388	0.1242	0.1525
areal	DUALFORMER_PP	640	1.0	1.0	1.0	0.2938	0.2625	0.3266	0.2405	0.215	0.265
areal	ADAPTIVE_PP_ORACLE	640	1.8813	1.7875	1.9703	0.3685	0.3279	0.4115	0.073	0.0652	0.0803
areal	UNIFIED_C4	640	1.0797	1.0625	1.0984	0.3071	0.2728	0.3421	0.2121	0.1888	0.2347
