entry	record_type	n_populated	n_total	fingerprint	n_entries_with_same_fp
colab-open_dapo_e3.json	stack	22	23	11111111111111111011111	4
colab-open_drgrpo_e3.json	stack	22	23	11111111111111111011111	4
colab-open_grpo-adaptiveg_e3.json	stack	22	23	11111111111111111011111	4
colab-open_grpo_e3.json	stack	22	23	11111111111111111011111	4
openrlhf_grpo_qwen3-8b_gsm8k.json	stack	13	23	00111110001001111111000	2
tinker_aero_qwen3.5-4b_gsm8k.json	stack	15	23	00111111001000011111111	3
tinker_areal_qwen3.5-4b_gsm8k.json	stack	15	23	00111111001000011111111	3
tinker_dapo_qwen3.5-4b_gsm8k.json	stack	14	23	00101110110000011111111	1
tinker_drgrpo_qwen3.5-4b_gsm8k.json	stack	14	23	00101111000100011111111	1
tinker_gift_qwen3.5-4b_gsm8k.json	stack	15	23	00111111001000011111111	3
tinker_grpo_qwen3-8b_gsm8k.json	stack	13	23	00111110000000011111111	1
tinker_grpo_qwen3.5-4b_gsm8k.json	stack	12	23	00101110000000011111111	1
tinker_gspo_qwen3.5-4b_gsm8k.json	stack	13	23	00101110001000011111111	1
trl_grpo_qwen3-8b_gsm8k.json	stack	16	23	00111110001001111111111	1
verl_grpo_qwen3-8b_gsm8k.json	stack	13	23	00111110001001111111000	2
zvf130_cppo.json	stack	9	23	00000110000000001111111	5
zvf130_es.json	stack	9	23	00000110000000001111111	5
zvf130_mcgrpo.json	stack	9	23	00000110000000001111111	5
zvf130_ngrpo.json	stack	9	23	00000110000000001111111	5
zvf130_scafgrpo.json	stack	9	23	00000110000000001111111	5
