id	metric	panel	stored_delta	recomputed_delta	stored_ci_lo	stored_ci_hi	recomp_ci_lo	recomp_ci_hi	n_steps	classification	stored_sig
delta_aero	zvf	n2_same_stack_last10	-0.025	-0.025	-0.0625	0.0125	-0.06664199269434107	0.016641992694341072	10	MATCH	False
delta_aero	reward_mean	n2_same_stack_last10	-0.014063	-0.0140625	-0.023438	-0.005469	-0.023418592043868175	-0.0047064079561318275	10	MATCH	True
delta_aero	pcd	n2_same_stack_last10	0.00293	0.0029296875	-0.002441	0.008984	-0.003109643945247524	0.008969018945247525	10	MATCH	False
delta_aero	mean_len	n2_same_stack_last10	31.077344	31.07734375	27.384375	35.092969	26.92317952308821	35.23150797691179	10	MATCH	True
delta_areal	zvf	n2_same_stack_last10	-0.05625	-0.05625	-0.1125	0.00625	-0.11804204596422135	0.005542045964221351	10	MATCH	False
delta_areal	reward_mean	n2_same_stack_last10	-0.019531	-0.01953125	-0.032031	-0.007812	-0.03208583999867069	-0.006976660001329307	10	MATCH	True
delta_areal	pcd	n2_same_stack_last10	0.007324	0.00732421875	-0.000781	0.014551	-0.001236917775445285	0.015885355275445285	10	MATCH	False
delta_areal	mean_len	n2_same_stack_last10	30.125781	30.12578125	25.170313	34.602344	25.180099518029643	35.071462981970356	10	MATCH	True
delta_gift	zvf	n2_same_stack_last10	0.125	0.125	0.08125	0.175	0.07334946488391647	0.17665053511608353	10	MATCH	True
delta_gift	reward_mean	n2_same_stack_last10	0.016406	0.01640625	-0.007031	0.039844	-0.008013867165890774	0.040826367165890776	10	MATCH	False
delta_gift	pcd	n2_same_stack_last10	-0.018457	-0.01845703125	-0.026172	-0.010352	-0.026952297213824524	-0.009961765286175473	10	MATCH	True
delta_gift	mean_len	n2_same_stack_last10	-3.889063	-3.8890625	-10.63125	3.10625	-11.24294872086847	3.4648237208684702	10	MATCH	False
