seed	tau	k_up	k_dn	fires	flips	raw_fires	raw_flips	yield_proxy	raw_yield	flip_ratio	yield_retention
42	0.4	2	2	13	1	10	9	0.43333333333333335	0.4	0.1111111111111111	1.0833333333333333
42	0.4	3	3	9	1	10	9	0.3	0.4	0.1111111111111111	0.7499999999999999
42	0.5	2	2	13	1	10	9	0.43333333333333335	0.4	0.1111111111111111	1.0833333333333333
42	0.5	3	3	9	1	10	9	0.3	0.4	0.1111111111111111	0.7499999999999999
42	0.6	2	2	2	2	6	10	0.06666666666666667	0.26666666666666666	0.2	0.25
42	0.6	3	3	0	0	6	10	0.0	0.26666666666666666	0.0	0.0
42	0.7	2	2	0	0	2	4	0.0	0.1	0.0	0.0
42	0.7	3	3	0	0	2	4	0.0	0.1	0.0	0.0
179	0.4	2	2	14	1	14	1	0.5583333333333333	0.5833333333333334	1.0	0.9571428571428571
179	0.4	3	3	13	1	14	1	0.525	0.5833333333333334	1.0	0.9
179	0.5	2	2	14	1	14	1	0.5583333333333333	0.5833333333333334	1.0	0.9571428571428571
179	0.5	3	3	13	1	14	1	0.525	0.5833333333333334	1.0	0.9
179	0.6	2	2	10	1	10	9	0.4	0.45	0.1111111111111111	0.888888888888889
179	0.6	3	3	4	1	10	9	0.15	0.45	0.1111111111111111	0.3333333333333333
179	0.7	2	2	0	0	4	7	0.0	0.2	0.0	0.0
179	0.7	3	3	0	0	4	7	0.0	0.2	0.0	0.0
316	0.4	2	2	14	1	13	4	0.5583333333333333	0.5416666666666666	0.25	1.0307692307692309
316	0.4	3	3	13	1	13	4	0.5166666666666667	0.5416666666666666	0.25	0.953846153846154
316	0.5	2	2	14	1	13	4	0.5583333333333333	0.5416666666666666	0.25	1.0307692307692309
316	0.5	3	3	13	1	13	4	0.5166666666666667	0.5416666666666666	0.25	0.953846153846154
316	0.6	2	2	10	1	9	9	0.4166666666666667	0.4083333333333333	0.1111111111111111	1.0204081632653061
316	0.6	3	3	9	1	9	9	0.36666666666666664	0.4083333333333333	0.1111111111111111	0.8979591836734694
316	0.7	2	2	5	2	4	4	0.21666666666666667	0.2	0.5	1.0833333333333333
316	0.7	3	3	5	2	4	4	0.20833333333333334	0.2	0.5	1.0416666666666667
453	0.4	2	2	14	1	14	2	0.5833333333333334	0.6083333333333333	0.5	0.9589041095890413
453	0.4	3	3	13	1	14	2	0.5333333333333333	0.6083333333333333	0.5	0.8767123287671234
453	0.5	2	2	14	1	14	2	0.5833333333333334	0.6083333333333333	0.5	0.9589041095890413
453	0.5	3	3	13	1	14	2	0.5333333333333333	0.6083333333333333	0.5	0.8767123287671234
453	0.6	2	2	12	2	10	8	0.5083333333333333	0.475	0.25	1.0701754385964912
453	0.6	3	3	13	1	10	8	0.5333333333333333	0.475	0.125	1.1228070175438596
453	0.7	2	2	5	2	6	7	0.225	0.30833333333333335	0.2857142857142857	0.7297297297297297
453	0.7	3	3	0	0	6	7	0.0	0.30833333333333335	0.0	0.0
590	0.4	2	2	14	1	12	5	0.55	0.5416666666666666	0.2	1.0153846153846156
590	0.4	3	3	13	1	12	5	0.5166666666666667	0.5416666666666666	0.2	0.953846153846154
590	0.5	2	2	14	1	12	5	0.55	0.5416666666666666	0.2	1.0153846153846156
590	0.5	3	3	13	1	12	5	0.5166666666666667	0.5416666666666666	0.2	0.953846153846154
590	0.6	2	2	10	1	10	9	0.39166666666666666	0.475	0.1111111111111111	0.8245614035087719
590	0.6	3	3	9	1	10	9	0.35	0.475	0.1111111111111111	0.7368421052631579
590	0.7	2	2	0	0	5	9	0.0	0.26666666666666666	0.0	0.0
590	0.7	3	3	0	0	5	9	0.0	0.26666666666666666	0.0	0.0
