comparison	point	ci_lo	ci_hi	note
auc_24_vs_20	0.0008194388077200632	0.0003319522659938068	0.0014319748580695624	AUC: 24full over 20raw (sensor contribution)
auc_24_vs_4sensor	0.03360403702200576	0.02637040426035464	0.041357701902222876	AUC: 24full over 4sensor (sensor-vs-full LLM surrogate)
auc_20_vs_4sensor	0.0327845982142857	0.025592189064811643	0.04052786155120636	AUC: 20raw over 4sensor (raw-only vs LLM surrogate)
brier_24_vs_20	-0.0029179640114307404	-0.003721006214618683	-0.0021326709538698196	Brier: 24full over 20raw (positive=24full has higher Brier; less=better)
brier_24_vs_4sensor	-0.10743089765310287	-0.10989452339708805	-0.10497754625976086	Brier: 24full over 4sensor
