tau	n10_mean_savings	n10_cv_savings	n10_cv_totalG	n10_headroom_bad	n2_mean_savings	n2_cv_savings	n2_method_cv	n2_mean_contrast_intent	n2_grpo_savings	n2_aero_savings	n2_gift_savings	n2_areal_savings	n10_bootstrap_mean	n10_bootstrap_lo	n10_bootstrap_hi
0.3	0.4666666666666667	0.1237179148263484	0.10825317547305482	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.4666666666666667	0.42	0.5
0.35	0.4666666666666667	0.1237179148263484	0.10825317547305482	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.4666666666666667	0.42	0.5
0.4	0.42	0.13280317881493264	0.09616781914184777	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.42	0.37333333333333335	0.46
0.45	0.42	0.13280317881493264	0.09616781914184777	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.42	0.37333333333333335	0.46
0.5	0.42	0.13280317881493264	0.09616781914184777	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.42	0.37333333333333335	0.46
0.55	0.3	0.1924500897298752	0.08247860988423225	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.3	0.25333333333333335	0.3333333333333333
0.6	0.3	0.1924500897298752	0.08247860988423225	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.3	0.25333333333333335	0.3333333333333333
0.65	0.14	0.35315230890931726	0.057489910752679556	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.14	0.10666666666666666	0.18
0.7	0.14	0.35315230890931726	0.057489910752679556	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.14	0.10666666666666666	0.18
0.75	0.14	0.35315230890931726	0.057489910752679556	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.14	0.10666666666666666	0.18
0.8	0.02	1.4907119849998598	0.03042269357142571	0	0.3646484375	0.157265706153291	0.038579417472670775	11.66875	0.36015625	0.36015625	0.38515625	0.353125	0.02	0.0	0.04666666666666667
