numerator	denominator	numer_density	denom_density	ratio	boot_mean	boot_lo	boot_hi	ci_excludes_1
D1	D2	0.008333	0.5	0.0167	0.017	0.0041	0.0302	True
D1	D3	0.008333	0.367347	0.0227	0.0234	0.0058	0.0434	True
D1	D4	0.008333	0.729297	0.0114	0.0116	0.0027	0.0201	True
D1	D5	0.008333	1.0	0.0083	0.0084	0.002	0.0148	True
D1	D6	0.008333	0.005304	1.5711	1.5924	0.3808	2.7918	False
D2	D3	0.5	0.367347	1.3611	1.3908	1.0243	1.9171	True
D2	D4	0.5	0.729297	0.6856	0.6874	0.576	0.7972	True
D2	D5	0.5	1.0	0.5	0.5012	0.4201	0.581	True
D2	D6	0.5	0.005304	94.2685	94.6413	78.2373	111.1259	True
D3	D4	0.367347	0.729297	0.5037	0.5059	0.3708	0.6373	True
D3	D5	0.367347	1.0	0.3673	0.3688	0.2689	0.4672	True
D3	D6	0.367347	0.005304	69.2585	69.648	50.4805	88.754	True
D4	D5	0.729297	1.0	0.7293	0.7296	0.7115	0.7473	True
D4	D6	0.729297	0.005304	137.4994	137.7559	127.8939	148.5202	True
D5	D6	1.0	0.005304	188.537	188.8179	176.1313	203.1281	True
