regime	definition	n_obs	mean_k	mean_restore	zvf_t50_n_fires	zvf_t50_fire_rate	zvf_t50_rpk_real	bayes_60_n_fires	bayes_60_fire_rate	bayes_60_rpk_real	dualf_n_fires	dualf_fire_rate	dualf_rpk_real
degenerate_k0_k8	--	1867	7.383	0.6400	1867	1.0000	79.9999	1867	1.0000	79.9999	1867	1.0000	79.9999
boundary_k1_k7	--	287	5.432	0.8800	287	1.0000	109.9990	0	0.0000	0.0000	287	1.0000	109.9990
mid_k2_to_6	--	406	4.268	0.9796	406	1.0000	122.4543	0	0.0000	0.0000	0	0.0000	0.0000
non_degenerate	--	693	4.750	0.9384	693	1.0000	117.2960	0	0.0000	0.0000	287	0.4141	109.9990
full_all_2k560	--	2560	6.670	0.7208	2560	1.0000	90.0961	1867	0.7293	79.9999	2154	0.8414	83.9970
