entry	schema_pass	has_ci_method	first_error
colab-open_dapo_e3.json	True	False	
colab-open_drgrpo_e3.json	True	False	
colab-open_grpo-adaptiveg_e3.json	True	False	
colab-open_grpo_e3.json	True	False	
delta_aero.json	True	False	
delta_areal.json	True	False	
delta_cppo.json	True	False	
delta_dapo.json	True	False	
delta_drgrpo.json	True	False	
delta_es.json	True	False	
delta_gift.json	True	False	
delta_gspo.json	True	False	
delta_mcgrpo.json	True	False	
delta_ngrpo.json	True	False	
delta_scafgrpo.json	True	False	
openrlhf_grpo_qwen3-8b_gsm8k.json	True	False	
tinker_aero_qwen3.5-4b_gsm8k.json	True	True	
tinker_areal_qwen3.5-4b_gsm8k.json	True	True	
tinker_dapo_qwen3.5-4b_gsm8k.json	True	True	
tinker_drgrpo_qwen3.5-4b_gsm8k.json	True	True	
tinker_gift_qwen3.5-4b_gsm8k.json	True	True	
tinker_grpo_qwen3-8b_gsm8k.json	True	False	
tinker_grpo_qwen3.5-4b_gsm8k.json	True	True	
tinker_gspo_qwen3.5-4b_gsm8k.json	True	True	
trl_grpo_qwen3-8b_gsm8k.json	True	False	
verl_grpo_qwen3-8b_gsm8k.json	True	False	
zvf130_cppo.json	True	False	
zvf130_es.json	True	False	
zvf130_mcgrpo.json	True	False	
zvf130_ngrpo.json	True	False	
zvf130_scafgrpo.json	True	False	
