scope	record_type	type	n
ALL	*	DESC	4
ALL	*	DESC_PATH_OK	14
ALL	*	PATH_OK	4
ALL	*	WANDB	4
BY_RECORD_TYPE	stack	DESC	4
BY_RECORD_TYPE	stack	DESC_PATH_OK	14
BY_RECORD_TYPE	stack	PATH_OK	4
BY_RECORD_TYPE	stack	WANDB	4
