rate	tree	cost_llm	cost_ratio	best_cpd_rule	best_cpf_rule
0.0144	XGB-20raw	0.001	10.0	xgb_only	xgb_only
0.0144	XGB-20raw	0.003	30.0	xgb_only	xgb_only
0.0144	XGB-20raw	0.01	100.0	xgb_only	xgb_only
0.0144	XGB-20raw	0.03	300.0	xgb_only	xgb_only
0.0144	XGB-20raw	0.1	1000.0	xgb_only	xgb_only
0.0144	XGB-24full	0.001	10.0	xgb_only	xgb_only
0.0144	XGB-24full	0.003	30.0	xgb_only	xgb_only
0.0144	XGB-24full	0.01	100.0	xgb_only	xgb_only
0.0144	XGB-24full	0.03	300.0	xgb_only	xgb_only
0.0144	XGB-24full	0.1	1000.0	xgb_only	xgb_only
0.0144	XGB-4sensor	0.001	10.0	xgb_only	xgb_only
0.0144	XGB-4sensor	0.003	30.0	xgb_only	xgb_only
0.0144	XGB-4sensor	0.01	100.0	xgb_only	xgb_only
0.0144	XGB-4sensor	0.03	300.0	xgb_only	xgb_only
0.0144	XGB-4sensor	0.1	1000.0	xgb_only	xgb_only
0.01	XGB-20raw	0.001	10.0	xgb_only	xgb_only
0.01	XGB-20raw	0.003	30.0	xgb_only	xgb_only
0.01	XGB-20raw	0.01	100.0	xgb_only	xgb_only
0.01	XGB-20raw	0.03	300.0	xgb_only	xgb_only
0.01	XGB-20raw	0.1	1000.0	xgb_only	xgb_only
0.01	XGB-24full	0.001	10.0	xgb_only	xgb_only
0.01	XGB-24full	0.003	30.0	xgb_only	xgb_only
0.01	XGB-24full	0.01	100.0	xgb_only	xgb_only
0.01	XGB-24full	0.03	300.0	xgb_only	xgb_only
0.01	XGB-24full	0.1	1000.0	xgb_only	xgb_only
0.01	XGB-4sensor	0.001	10.0	xgb_only	xgb_only
0.01	XGB-4sensor	0.003	30.0	xgb_only	xgb_only
0.01	XGB-4sensor	0.01	100.0	xgb_only	xgb_only
0.01	XGB-4sensor	0.03	300.0	xgb_only	xgb_only
0.01	XGB-4sensor	0.1	1000.0	xgb_only	xgb_only
0.005	XGB-20raw	0.001	10.0	xgb_only	xgb_only
0.005	XGB-20raw	0.003	30.0	xgb_only	xgb_only
0.005	XGB-20raw	0.01	100.0	xgb_only	xgb_only
0.005	XGB-20raw	0.03	300.0	xgb_only	xgb_only
0.005	XGB-20raw	0.1	1000.0	xgb_only	xgb_only
0.005	XGB-24full	0.001	10.0	xgb_only	xgb_only
0.005	XGB-24full	0.003	30.0	xgb_only	xgb_only
0.005	XGB-24full	0.01	100.0	xgb_only	xgb_only
0.005	XGB-24full	0.03	300.0	xgb_only	xgb_only
0.005	XGB-24full	0.1	1000.0	xgb_only	xgb_only
0.005	XGB-4sensor	0.001	10.0	xgb_only	xgb_only
0.005	XGB-4sensor	0.003	30.0	xgb_only	xgb_only
0.005	XGB-4sensor	0.01	100.0	xgb_only	xgb_only
0.005	XGB-4sensor	0.03	300.0	xgb_only	xgb_only
0.005	XGB-4sensor	0.1	1000.0	xgb_only	xgb_only
0.001	XGB-20raw	0.001	10.0	xgb_only	xgb_only
0.001	XGB-20raw	0.003	30.0	xgb_only	xgb_only
0.001	XGB-20raw	0.01	100.0	xgb_only	xgb_only
0.001	XGB-20raw	0.03	300.0	xgb_only	xgb_only
0.001	XGB-20raw	0.1	1000.0	xgb_only	xgb_only
0.001	XGB-24full	0.001	10.0	xgb_only	xgb_only
0.001	XGB-24full	0.003	30.0	xgb_only	xgb_only
0.001	XGB-24full	0.01	100.0	xgb_only	xgb_only
0.001	XGB-24full	0.03	300.0	xgb_only	xgb_only
0.001	XGB-24full	0.1	1000.0	xgb_only	xgb_only
0.001	XGB-4sensor	0.001	10.0	xgb_only	xgb_only
0.001	XGB-4sensor	0.003	30.0	xgb_only	xgb_only
0.001	XGB-4sensor	0.01	100.0	xgb_only	xgb_only
0.001	XGB-4sensor	0.03	300.0	xgb_only	xgb_only
0.001	XGB-4sensor	0.1	1000.0	xgb_only	xgb_only
0.0005	XGB-20raw	0.001	10.0	xgb_only	xgb_only
0.0005	XGB-20raw	0.003	30.0	xgb_only	xgb_only
0.0005	XGB-20raw	0.01	100.0	xgb_only	xgb_only
0.0005	XGB-20raw	0.03	300.0	xgb_only	xgb_only
0.0005	XGB-20raw	0.1	1000.0	xgb_only	xgb_only
0.0005	XGB-24full	0.001	10.0	xgb_only	xgb_only
0.0005	XGB-24full	0.003	30.0	xgb_only	xgb_only
0.0005	XGB-24full	0.01	100.0	xgb_only	xgb_only
0.0005	XGB-24full	0.03	300.0	xgb_only	xgb_only
0.0005	XGB-24full	0.1	1000.0	xgb_only	xgb_only
0.0005	XGB-4sensor	0.001	10.0	xgb_only	xgb_only
0.0005	XGB-4sensor	0.003	30.0	xgb_only	xgb_only
0.0005	XGB-4sensor	0.01	100.0	xgb_only	xgb_only
0.0005	XGB-4sensor	0.03	300.0	xgb_only	xgb_only
0.0005	XGB-4sensor	0.1	1000.0	xgb_only	xgb_only
