comparison	budget	budget_label	delta_tp_per_dollar_mean	ci_lo	ci_hi	base_tp_per_dollar_mean	base_tp_per_dollar_std	excl_zero
M2_minus_M1	0.001	0.1%	0.0	0.0	0.0	1.666666666666667	0.0	no
M3_minus_M1	0.001	0.1%	-0.6140350877192983	-0.6140350877192984	-0.6140350877192984	0.03999200159968006	0.27994401119776047	yes
M4_minus_M1	0.001	0.1%	-0.09186351706036744	-0.09186351706036744	-0.09186351706036744	0.03999200159968006	0.27994401119776047	yes
M2_minus_M1	0.005	0.5%	-0.02115384615384616	-0.11634615384615382	0.07692307692307687	1.8206730769230768	0.055034953927900726	no
M3_minus_M1	0.005	0.5%	-0.21601205997392436	-0.22816166883963507	-0.2007822685788787	0.03999200159968006	0.27994401119776047	yes
M4_minus_M1	0.005	0.5%	-0.02410560502116489	-0.02554371624580365	-0.021967595971390974	0.03999200159968006	0.27994401119776047	yes
M2_minus_M1	0.01	1%	0.08196078431372548	-0.019607843137255054	0.196078431372549	1.5872058823529411	0.056430405093288984	no
M3_minus_M1	0.01	1%	-0.10193065299514298	-0.1133297355639502	-0.08814534988307243	0.03999200159968006	0.27994401119776047	yes
M4_minus_M1	0.01	1%	-0.01075720258892266	-0.01202818030815056	-0.009355251350783744	0.03999200159968006	0.27994401119776047	yes
M2_minus_M1	0.02	2%	0.04955445544554456	-0.020049504950495046	0.1188118811881188	1.0353465346534654	0.035360502828415824	no
M3_minus_M1	0.02	2%	-0.03467667819413523	-0.0404566772466719	-0.028518641337818007	0.03999200159968006	0.27994401119776047	yes
M4_minus_M1	0.02	2%	-0.0035802312347662435	-0.004205600629130446	-0.003008885002955153	0.03999200159968006	0.27994401119776047	yes
M2_minus_M1	0.05	5%	0.01491035856573705	-0.01195219123505975	0.03984063745019917	0.5001494023904383	0.012910575870887684	no
M3_minus_M1	0.05	5%	-0.006878282547609165	-0.008218599081082356	-0.005753019356757649	0.03999200159968006	0.27994401119776047	yes
M4_minus_M1	0.05	5%	-0.0006977104512128387	-0.0008266119924519311	-0.0005880595382543596	0.03999200159968006	0.27994401119776047	yes
M2_minus_M1	0.1	10%	0.005708582834331337	-0.0019960079840319334	0.013972055888223535	0.2657435129740519	0.0043182100066581925	no
M3_minus_M1	0.1	10%	-0.0018436120820796453	-0.002201741215289932	-0.001550912051021841	0.03999200159968006	0.27994401119776047	yes
M4_minus_M1	0.1	10%	-0.00018628943369868479	-0.00021877059683367284	-0.00015881769919820282	0.03999200159968006	0.27994401119776047	yes
