method	step	tau	zvf	pcd	opp_esc16	fired	failure_class
aero	35	0.9	0.8125	0.0341796875	2.8718800074101667	0	C_FN_DRIFT
aero	36	0.9	0.8125	0.0302734375	2.861887928997843	0	C_FN_DRIFT
aero	37	0.9	0.6875	0.05078125	4.645226143339196	0	C_FN_DRIFT
aero	38	0.9	0.6875	0.0517578125	4.645737879779988	0	C_FN_DRIFT
aero	39	0.9	0.625	0.048828125	5.4091224708748165	0	C_FN_DRIFT
gift	0	0.9	0.75	0.0537109375	3.979382228422053	0	C_FN_DRIFT
gift	1	0.9	0.5625	0.0751953125	6.6256926557990905	0	C_FN_DRIFT
gift	2	0.9	0.6875	0.0341796875	4.409664740893733	0	C_FN_DRIFT
gift	3	0.9	0.5625	0.0673828125	6.605708498974442	0	C_FN_DRIFT
gift	4	0.9	0.6875	0.0517578125	4.743278555957675	0	C_FN_DRIFT
gift	5	0.9	0.625	0.048828125	5.4091224708748165	0	C_FN_DRIFT
gift	6	0.9	0.75	0.0478515625	3.870826000950458	0	C_FN_DRIFT
gift	7	0.9	0.6875	0.0439453125	4.62575372295534	0	C_FN_DRIFT
gift	8	0.9	0.625	0.0673828125	5.74324802237955	0	C_FN_DRIFT
gift	9	0.9	0.625	0.0537109375	5.51716696190562	0	C_FN_DRIFT
gift	10	0.9	0.75	0.0361328125	3.645768413358112	0	C_FN_DRIFT
gift	11	0.9	0.625	0.0693359375	5.841812171438821	0	C_FN_DRIFT
gift	12	0.9	0.75	0.044921875	3.8613456589789257	0	C_FN_DRIFT
gift	13	0.9	0.5625	0.0908203125	6.860742321803761	0	C_FN_DRIFT
gift	14	0.9	0.8125	0.037109375	2.881360349381698	0	C_FN_DRIFT
gift	15	0.9	0.625	0.0625	5.635203531348747	0	C_FN_DRIFT
gift	16	0.9	0.625	0.0634765625	5.733255943967225	0	C_FN_DRIFT
gift	17	0.9	0.75	0.0625	3.9998781216874932	0	C_FN_DRIFT
gift	18	0.9	0.625	0.0703125	5.752728364351082	0	C_FN_DRIFT
gift	19	0.9	0.75	0.041015625	3.753812904388915	0	C_FN_DRIFT
gift	20	0.9	0.6875	0.056640625	4.753782370810789	0	C_FN_DRIFT
gift	21	0.9	0.75	0.0478515625	3.8708260009504576	0	C_FN_DRIFT
gift	22	0.9	0.875	0.021484375	1.8813908829598227	0	C_FN_DRIFT
gift	23	0.9	0.875	0.021484375	1.8813908829598236	0	C_FN_DRIFT
gift	24	0.9	0.875	0.013671875	1.763866049957488	0	C_FN_DRIFT
gift	25	0.9	0.75	0.0537109375	3.9793822284220526	0	C_FN_DRIFT
gift	26	0.9	0.8125	0.0283203125	2.7633237799385717	0	C_FN_DRIFT
gift	27	0.9	0.9375	0.01171875	0.9899776440095424	1	A_HIT
gift	28	0.9	0.875	0.0185546875	1.8719105409882908	0	C_FN_DRIFT
gift	29	0.9	0.9375	0.0146484375	0.9994579859810743	1	A_HIT
gift	30	0.9	0.875	0.02734375	1.989947110431418	0	C_FN_DRIFT
gift	31	0.9	0.9375	0.0068359375	0.8819331529787392	1	A_HIT
gift	32	0.9	0.75	0.04296875	3.7627815099196544	0	C_FN_DRIFT
gift	33	0.9	0.9375	0.0068359375	0.8819331529787392	1	A_HIT
gift	34	0.9	1.0	0.0	2.559999909834687e-07	1	D_FP_BDRY
gift	35	0.9	0.9375	0.0068359375	0.8819331529787392	1	A_HIT
gift	36	0.9	0.9375	0.015625	0.9999697224218665	1	A_HIT
gift	37	0.9	0.875	0.021484375	1.8813908829598232	0	C_FN_DRIFT
gift	38	0.9	0.9375	0.0146484375	0.9994579859810743	1	A_HIT
gift	39	0.9	0.8125	0.0419921875	2.989404840412502	0	C_FN_DRIFT
areal	0	0.9	0.6875	0.0546875	4.752758897929206	0	C_FN_DRIFT
areal	1	0.9	0.5	0.0908203125	7.625662122220966	0	C_FN_DRIFT
areal	2	0.9	0.6875	0.04296875	4.527701310336861	0	C_FN_DRIFT
areal	3	0.9	0.6875	0.0595703125	4.86080338896001	0	C_FN_DRIFT
areal	4	0.9	0.5	0.068359375	7.281544492303908	0	C_FN_DRIFT
areal	5	0.9	0.75	0.04296875	3.7627815099196544	0	C_FN_DRIFT
areal	6	0.9	0.6875	0.0498046875	4.644714406898403	0	C_FN_DRIFT
areal	7	0.9	0.875	0.013671875	1.7638660499574876	0	C_FN_DRIFT
areal	8	0.9	0.625	0.0703125	5.752728364351082	0	C_FN_DRIFT
areal	9	0.9	0.6875	0.0625	4.870283730931542	0	C_FN_DRIFT
areal	10	0.9	0.6875	0.0419921875	4.527189573896068	0	C_FN_DRIFT
areal	11	0.9	0.5	0.080078125	7.506602079896254	0	C_FN_DRIFT
areal	12	0.9	0.8125	0.0439453125	2.9983734459432414	0	C_FN_DRIFT
areal	13	0.9	0.5625	0.09375	6.967763339952979	0	C_FN_DRIFT
areal	14	0.9	0.6875	0.052734375	4.743790292398466	0	C_FN_DRIFT
areal	15	0.9	0.6875	0.0419921875	4.527189573896068	0	C_FN_DRIFT
areal	16	0.9	0.625	0.05859375	5.625211452936422	0	C_FN_DRIFT
areal	17	0.9	0.5	0.0927734375	7.634630727751706	0	C_FN_DRIFT
areal	18	0.9	0.5625	0.0771484375	6.63466126132983	0	C_FN_DRIFT
areal	19	0.9	0.75	0.0546875	3.9798939648628457	0	C_FN_DRIFT
areal	20	0.9	0.6875	0.0703125	4.979863431284721	0	C_FN_DRIFT
areal	21	0.9	0.6875	0.04296875	4.52770131033686	0	C_FN_DRIFT
areal	22	0.9	0.8125	0.029296875	2.763835516379364	0	C_FN_DRIFT
areal	23	0.9	0.8125	0.033203125	2.871368270969375	0	C_FN_DRIFT
areal	24	0.9	0.875	0.0185546875	1.8719105409882917	0	C_FN_DRIFT
areal	25	0.9	0.625	0.08203125	5.977785951943428	0	C_FN_DRIFT
areal	26	0.9	0.875	0.0263671875	1.9894353739906263	0	C_FN_DRIFT
areal	27	0.9	0.9375	0.01171875	0.9899776440095424	1	A_HIT
areal	28	0.9	0.875	0.021484375	1.8813908829598227	0	C_FN_DRIFT
areal	29	0.9	0.8125	0.029296875	2.763835516379364	0	C_FN_DRIFT
areal	30	0.9	0.75	0.0400390625	3.7533011679481225	0	C_FN_DRIFT
areal	31	0.9	0.5625	0.052734375	6.281575025882033	0	C_FN_DRIFT
areal	32	0.9	0.75	0.0478515625	3.8708260009504576	0	C_FN_DRIFT
areal	33	0.9	0.625	0.0625	5.635203531348747	0	C_FN_DRIFT
areal	34	0.9	0.6875	0.0390625	4.517709231924536	0	C_FN_DRIFT
areal	35	0.9	0.8125	0.025390625	2.7538434379670393	0	C_FN_DRIFT
areal	36	0.9	0.75	0.0400390625	3.7533011679481234	0	C_FN_DRIFT
areal	37	0.9	0.6875	0.056640625	4.753782370810791	0	C_FN_DRIFT
areal	38	0.9	0.8125	0.033203125	2.8713682709693744	0	C_FN_DRIFT
areal	39	0.9	0.75	0.044921875	3.861345658978926	0	C_FN_DRIFT
