n_reviewed	tp	fp	fn	tn	precision	recall	cost_review_usd	cost_model_usd	cost_total_usd	tp_per_dollar	mode	budget_label	budget	n_llm_scored	cost_llm_usd
10	10	0	134	9856	1.0	0.06944444444444445	5.0	1.0	6.0	1.6666666666666667	M1_XGB-20raw	0.1%	0.001		
50	47	3	97	9853	0.94	0.3263888888888889	25.0	1.0	26.0	1.8076923076923077	M1_XGB-20raw	0.5%	0.005		
100	80	20	64	9836	0.8	0.5555555555555556	50.0	1.0	51.0	1.5686274509803921	M1_XGB-20raw	1%	0.01		
200	105	95	39	9761	0.525	0.7291666666666666	100.0	1.0	101.0	1.0396039603960396	M1_XGB-20raw	2%	0.02		
500	125	375	19	9481	0.25	0.8680555555555556	250.0	1.0	251.0	0.49800796812749004	M1_XGB-20raw	5%	0.05		
1000	133	867	11	8989	0.133	0.9236111111111112	500.0	1.0	501.0	0.2654690618762475	M1_XGB-20raw	10%	0.1		
10	10	0	134	9856	1.0	0.06944444444444445	5.0	1.0	6.0	1.6666666666666667	M2_XGB-24full_oracle	0.1%	0.001		
50	47	3	97	9853	0.94	0.3263888888888889	25.0	1.0	26.0	1.8076923076923077	M2_XGB-24full_oracle	0.5%	0.005		
100	86	14	58	9842	0.86	0.5972222222222222	50.0	1.0	51.0	1.6862745098039216	M2_XGB-24full_oracle	1%	0.01		
200	110	90	34	9766	0.55	0.7638888888888888	100.0	1.0	101.0	1.0891089108910892	M2_XGB-24full_oracle	2%	0.02		
500	129	371	15	9485	0.258	0.8958333333333334	250.0	1.0	251.0	0.5139442231075697	M2_XGB-24full_oracle	5%	0.05		
1000	136	864	8	8992	0.136	0.9444444444444444	500.0	1.0	501.0	0.2714570858283433	M2_XGB-24full_oracle	10%	0.1		
10	10	0	134	9856	1.0	0.06944444444444445	5.0	1.0	9.5	1.0526315789473684	M3_Hybrid10	0.1%	0.001	1000.0	3.5
50	47	3	97	9853	0.94	0.3263888888888889	25.0	1.0	29.5	1.5932203389830508	M3_Hybrid10	0.5%	0.005	1000.0	3.5
100	80	20	64	9836	0.8	0.5555555555555556	50.0	1.0	54.5	1.4678899082568808	M3_Hybrid10	1%	0.01	1000.0	3.5
200	105	95	39	9761	0.525	0.7291666666666666	100.0	1.0	104.5	1.0047846889952152	M3_Hybrid10	2%	0.02	1000.0	3.5
500	125	375	19	9481	0.25	0.8680555555555556	250.0	1.0	254.5	0.4911591355599214	M3_Hybrid10	5%	0.05	1000.0	3.5
1000	133	867	11	8989	0.133	0.9236111111111112	500.0	1.0	504.5	0.26362735381565905	M3_Hybrid10	10%	0.1	1000.0	3.5
10	10	0	134	9856	1.0	0.06944444444444445	5.0	1.0	6.35	1.5748031496062993	M4_Hybrid01	0.1%	0.001	100.0	0.35000000000000003
50	47	3	97	9853	0.94	0.3263888888888889	25.0	1.0	26.35	1.7836812144212524	M4_Hybrid01	0.5%	0.005	100.0	0.35000000000000003
100	80	20	64	9836	0.8	0.5555555555555556	50.0	1.0	51.35	1.5579357351509249	M4_Hybrid01	1%	0.01	100.0	0.35000000000000003
200	105	95	39	9761	0.525	0.7291666666666666	100.0	1.0	101.35	1.0360138135175136	M4_Hybrid01	2%	0.02	100.0	0.35000000000000003
500	125	375	19	9481	0.25	0.8680555555555556	250.0	1.0	251.35	0.4973145016908693	M4_Hybrid01	5%	0.05	100.0	0.35000000000000003
1000	133	867	11	8989	0.133	0.9236111111111112	500.0	1.0	501.35	0.26528373391842025	M4_Hybrid01	10%	0.1	100.0	0.35000000000000003
