noise_sigma	k_pct	cost_delta_median	cost_delta_lo	cost_delta_hi	cost_ci_excludes_zero	tp_delta_median	fn_delta_median	fp_delta_median
0.0	0.1	0.0035000000000000586	0.0035000000000000586	0.0035000000000000586	True	0	0	0
0.0	0.25	0.0035000000000000586	-0.006500000000000061	0.0035000000000000586	False	0	0	0
0.0	0.5	-0.006500000000000061	-0.02650000000000008	0.0035000000000000586	False	1	-1	-1
0.0	1.0	-0.006500000000000061	-0.056499999999999995	0.023499999999999965	False	1	-1	-1
0.0	1.5	-0.07650000000000001	-0.1365	-0.026499999999999996	True	8	-8	-8
0.0	2.0	-0.036500000000000005	-0.1065	0.003500000000000003	False	4	-4	-4
0.0	3.0	-0.016500000000000004	-0.0465	0.0034999999999999996	False	2	-2	-2
0.0	4.0	-0.006499999999999999	-0.026500000000000003	0.0034999999999999996	False	1	-1	-1
0.0	5.0	0.0034999999999999996	0.0034999999999999996	0.0034999999999999996	True	0	0	0
0.0	7.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.0	10.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.05	0.1	0.0035000000000000586	0.0035000000000000586	0.0035000000000000586	True	0	0	0
0.05	0.25	0.0035000000000000586	-0.006500000000000061	0.0035000000000000586	False	0	0	0
0.05	0.5	-0.00649999999999995	-0.02650000000000008	0.013499999999999956	False	1	-1	-1
0.05	1.0	-0.006500000000000006	-0.046499999999999986	0.03349999999999986	False	1	-1	-1
0.05	1.5	-0.0665	-0.1265	-0.016499999999999987	True	7	-7	-7
0.05	2.0	-0.0165	-0.07650000000000001	0.03350000000000001	False	2	-2	-2
0.05	3.0	-0.016500000000000004	-0.0465	0.003500000000000003	False	2	-2	-2
0.05	4.0	-0.006499999999999999	-0.026500000000000003	0.0034999999999999996	False	1	-1	-1
0.05	5.0	0.0034999999999999996	0.0034999999999999996	0.0034999999999999996	True	0	0	0
0.05	7.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.05	10.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.1	0.1	0.0035000000000000586	0.0035000000000000586	0.0035000000000000586	True	0	0	0
0.1	0.25	0.0035000000000000586	-0.006500000000000061	0.0035000000000000586	False	0	0	0
0.1	0.5	-0.00649999999999995	-0.02650000000000008	0.013499999999999956	False	1	-1	-1
0.1	1.0	0.013500000000000012	-0.01650000000000007	0.06349999999999995	False	-1	1	1
0.1	1.5	0.033499999999999974	-0.026500000000000024	0.08350000000000002	False	-3	3	3
0.1	2.0	0.07349999999999998	0.003500000000000003	0.1335	True	-7	7	7
0.1	3.0	0.023500000000000007	0.0034999999999999996	0.0635	True	-2	2	2
0.1	4.0	0.0034999999999999996	-0.026500000000000003	0.0335	False	0	0	0
0.1	5.0	0.0034999999999999996	0.0034999999999999996	0.0034999999999999996	True	0	0	0
0.1	7.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.1	10.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.25	0.1	0.0035000000000000586	0.0035000000000000586	0.0035000000000000586	True	0	0	0
0.25	0.25	0.0035000000000000586	-0.006500000000000061	0.0035000000000000586	False	0	0	0
0.25	0.5	-0.00649999999999995	-0.02650000000000008	0.023499999999999965	False	1	-1	-1
0.25	1.0	0.013499999999999956	-0.03650000000000003	0.07350000000000001	False	-1	1	1
0.25	1.5	0.033499999999999974	-0.026500000000000024	0.0935	False	-3	3	3
0.25	2.0	0.04349999999999998	-0.016499999999999987	0.1035	False	-4	4	4
0.25	3.0	0.043500000000000004	0.013499999999999998	0.0935	True	-4	4	4
0.25	4.0	0.023500000000000007	-0.006499999999999999	0.0735	False	-2	2	2
0.25	5.0	0.0034999999999999996	0.0034999999999999996	0.013500000000000005	True	0	0	0
0.25	7.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.25	10.0	0.003500000000000003	0.003500000000000003	0.003500000000000003	True	0	0	0
0.5	0.1	0.0035000000000000586	0.0035000000000000586	0.0035000000000000586	True	0	0	0
0.5	0.25	0.0035000000000000586	-0.006500000000000061	0.0035000000000000586	False	0	0	0
0.5	0.5	0.013499999999999956	-0.00649999999999995	0.0635	False	-1	1	1
0.5	1.0	0.09349999999999992	0.033499999999999974	0.16349999999999998	True	-9	9	9
0.5	1.5	0.1335	0.0635	0.20350000000000001	True	-13	13	13
0.5	2.0	0.1335	0.0735	0.20350000000000001	True	-13	13	13
0.5	3.0	0.1335	0.0735	0.2135	True	-13	13	13
0.5	4.0	0.0835	0.03350000000000001	0.15350000000000003	True	-8	8	8
0.5	5.0	0.08349999999999999	0.0335	0.14350000000000002	True	-8	8	8
0.5	7.0	0.053500000000000006	0.013499999999999998	0.10350000000000001	True	-5	5	5
0.5	10.0	0.023500000000000007	0.003500000000000003	0.053500000000000006	True	-2	2	2
