variant	metric	value	delta_vs_20raw	ci_lo	ci_hi	excludes_zero	direction
add_V_mean+V_std	auc	0.9990558486652237	0.0002254689754689343	-4.5743478996218556e-05	0.0005457782197342276	False	pos
add_V_mean+V_std	f1	0.8320610687022901	0.00898414562536698	-0.030811808118081263	0.04948979591836733	False	pos
add_V_mean+V_max	auc	0.9990755772005772	0.0002451975108224147	-8.677548592528339e-05	0.0006030992311778505	False	pos
add_V_mean+V_max	f1	0.8560606060606061	0.03298368298368293	-0.001474508024726373	0.0713978494623656	False	pos
add_V_mean+V_min	auc	0.9987183497925686	-0.00011202989718617218	-0.00044990178973125516	0.00022347541876810428	False	neg
add_V_mean+V_min	f1	0.8185328185328187	-0.004544104544104477	-0.03545454545454563	0.028044563964656266	False	neg
add_V_std+V_max	auc	0.9989064754689755	7.609577922074173e-05	-0.0002994067140805745	0.0004889056757155785	False	pos
add_V_std+V_max	f1	0.8294573643410853	0.006380441264162151	-0.030150903041824995	0.04565217391304355	False	pos
add_V_std+V_min	auc	0.9987070763437951	-0.00012330334595966885	-0.00042399859871922185	0.0001842502855879946	False	neg
add_V_std+V_min	f1	0.8153846153846155	-0.007692307692307665	-0.042060582674127045	0.027765382517725312	False	neg
add_V_max+V_min	auc	0.9990579624368686	0.00022758274711387472	-0.00012338701571334987	0.0006786404397176593	False	pos
add_V_max+V_min	f1	0.8396946564885496	0.016617733411626423	-0.020312500000000067	0.053796340304182455	False	pos
