seed	rate_pct	fset	tau	clf	value_rate	esc_prec	n_lift	n_waste	pareto_ok
20260706	1.44	24full	0.05	joint_vstat	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.05	vmean_only	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.1	joint_vstat	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.1	vmean_only	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.15	joint_vstat	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.15	vmean_only	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.2	joint_vstat	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.2	vmean_only	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.3	joint_vstat	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.3	vmean_only	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.4	joint_vstat	1.0	0.009804922888366867	96	9695	False
20260706	1.44	24full	0.4	vmean_only	1.0	0.009795918367346938	96	9704	False
20260706	1.44	24full	0.5	joint_vstat	0.6145833333333334	0.0118	59	4941	False
20260706	1.44	24full	0.5	vmean_only	0.5	0.010252029047415635	48	4634	False
20260706	1.44	24full	0.6	joint_vstat	0.0	0.0	0	2	False
20260706	1.44	24full	0.6	vmean_only	0.0	0.0	0	0	False
20260706	1.44	24full	0.7	joint_vstat	0.0	0.0	0	0	False
20260706	1.44	24full	0.7	vmean_only	0.0	0.0	0	0	False
20260706	1.44	24full	0.8	joint_vstat	0.0	0.0	0	0	False
20260706	1.44	24full	0.8	vmean_only	0.0	0.0	0	0	False
20260706	1.44	24full	0.9	joint_vstat	0.0	0.0	0	0	False
20260706	1.44	24full	0.9	vmean_only	0.0	0.0	0	0	False
20260706	1.44	20raw	0.05	joint_vstat	1.0	0.009591836734693878	94	9706	False
20260706	1.44	20raw	0.05	vmean_only	1.0	0.009591836734693878	94	9706	False
20260706	1.44	20raw	0.1	joint_vstat	1.0	0.009591836734693878	94	9706	False
